Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos Summary
Randy Arozarena\arozara01,24,5,13,0,0,0,0,0,0,0.0,0,1,0.1,.506,.500,0.1,0.0,1,,Free Agency,/89
Harrison Bader\baderha01,25,106,319,-6,0,0,14,2,10,0.9,10,21,1.9,.510,.506,0.6,1.5,7,$578300,Amateur Draft,*8
John Brebbia*\brebbjo01,29,54,1,0,0,0,0,0,1,0.1,0,1,0.1,.501,.500,0.1,0.0,1,$569300,Rule 5 Draft,1
Genesis Cabrera*\cabrege01,22,6,4,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.492,.500,-0.1,0.0,-1,,Traded,/1
Matt Carpenter*\carpema01,33,110,435,-8,-2,0,3,2,-6,-0.7,14,8,0.6,.495,.496,0.4,0.4,5,$14750000,Amateur Draft,*5/3D
Paul DeJong\dejonpa01,25,138,575,3,1,0,10,7,20,1.8,19,39,3.6,.515,.512,2.8,1.6,29,$1666667,Amateur Draft,*6
Tommy Edman#\edmanto01,24,71,254,1,2,1,6,1,11,1.0,8,20,1.8,.516,.507,1.3,0.6,13,,Amateur Draft,549/87
Junior Fernandez\fernaju01,22,5,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Amateur Free Agent,/1
Jack Flaherty\flaheja01,23,30,52,-7,-1,0,0,7,0,0.0,0,1,0.0,.501,.500,0.1,0.0,1,$562100,Amateur Draft,1
Dexter Fowler#\fowlede01,33,129,478,4,1,2,-1,-3,3,0.1,16,19,1.7,.503,.502,1.9,-0.5,20,$16500000,Free Agency,*98
Giovanny Gallegos\gallegi01,27,52,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,,Traded,1
John Gant\gantjo01,26,52,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$571300,Traded,1
Paul Goldschmidt\goldspa01,31,139,586,10,0,-1,6,-7,8,0.5,19,27,2.4,.506,.505,1.9,-0.2,21,$14500000,Traded,*3
Luke Gregerson*\gregelu01,35,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$5000000,Free Agency,/1
Jedd Gyorko\gyorkje01,30,38,62,-3,0,0,0,0,-3,-0.3,2,-1,-0.1,.493,.498,-0.1,0.0,-1,$13000000,Traded,5/431
Ryan Helsley\helslry01,24,15,3,0,0,0,0,1,0,0.0,0,0,0.0,.502,.500,0.0,0.0,0,,Amateur Draft,1
Jordan Hicks (60-day IL)\hicksjo03,22,28,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$555000,Amateur Draft,1
