NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Scottie Scheffler,27,2024,10939500,2298,7,27,7,6,2,67.4,293.8,62.3,77.8,1.668,41.9,5.481
Wyndham Clark,30,2024,7896591,1531,7,25,6,3,1,68.5,306.3,53,72,1.68,66.7,4.96
Hideki Matsuyama,32,2024,5632462,1220,8,31,8,2,1,69.4,296.1,57.8,71.1,1.756,55.8,4.194
Xander Schauffele,30,2024,4365483,1121,7,27,7,5,0,68.4,302.3,58.6,72.5,1.71,51.5,4.889
Sahith Theegala,26,2024,4282963,1074,8,29,7,4,0,69.1,298.9,56.3,70.3,1.7,44.4,4.655
Chris Kirk,38,2024,4182871,916,8,29,7,1,1,69.1,294.4,61.9,69.6,1.725,45.8,4.966
Ludvig Åberg,24,2024,3698451,893,7,27,7,3,0,69.2,304.7,57.6,70,1.747,47.2,4.333
Matthieu Pavon,31,2024,3382793,987,7,25,6,3,1,69.2,296.7,59.9,69.6,1.719,43.3,4.72
Brian Harman,37,2024,3202283,815,7,27,7,2,0,69.1,288.2,62.6,68.7,1.698,47.4,4.481
Will Zalatoris,27,2024,2922316,761,6,20,4,2,0,69.7,295.8,61.2,68.1,1.791,46.9,4
Byeong Hun An,32,2024,2834467,948,8,29,7,3,0,69.1,308.1,54.1,71.3,1.72,64.7,5.138
Nick Taylor,35,2024,2591050,814,8,30,7,2,1,69.3,288.6,58.6,66.9,1.695,61.1,4.433
Christiaan Bezuidenhout,29,2024,2493774,628,8,27,6,1,0,69.4,281.7,56.5,64.5,1.689,36.7,4.519
Jake Knapp,29,2024,2463745,799,8,31,7,3,1,69.9,305.1,54.6,68.1,1.729,73.2,4.258
Luke List,39,2024,2249220,541,9,29,6,1,0,70.2,296.2,55.1,68.8,1.772,38.8,3.897
Tom Hoge,34,2024,2168721,752,10,37,9,2,0,69.3,290.2,58.6,70.2,1.724,57.1,4.541
Sam Burns,27,2024,2126563,658,7,27,7,4,0,68.7,303.7,60.7,69.3,1.704,55.8,4.926
Shane Lowry,36,2024,2115496,579,6,23,5,2,0,69.4,293.5,69.6,69.7,1.713,45,4.696
Jason Day,36,2024,2025941,670,7,25,6,3,0,69.3,299.4,57.4,65.6,1.702,58.1,4.56
J.T. Poston,30,2024,2005041,681,9,33,8,3,0,69.2,286.4,64.4,70.5,1.723,59.5,4.727
Patrick Cantlay,32,2024,1952336,644,7,27,7,1,0,69.8,293.3,55.2,65.9,1.758,60.6,4.519
Austin Eckroat,25,2024,1941185,606,8,30,7,1,1,69.6,294.7,67.2,69,1.737,50,4.367
