Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired
John Brebbia\brebbjo01,29,66,57,0,25,3.41,4.83,0.24,-0.33,95.4,4.06,5,0.5,0.81,-0.2,0.9,11,0.509,0.503,"$569,300 ",Rule 5 Draft
Genesis Cabrera*\cabrege01,22,14.2,6,2,11,6.75,4.59,0.33,-0.02,93.9,3.97,-4,-0.4,0.13,0.1,-0.2,-3,0.431,0.497,,Traded
Junior Fernandez\fernaju01,22,6.1,6,0,2,2.84,4.51,0.21,-0.31,96.7,3.85,1,0.1,0.42,0,0.1,1,0.513,0.5,,Amateur Free Agent
Jack Flaherty\flaheja01,23,160.1,28,28,58,3.26,4.79,0.25,0.21,96.1,4.57,24,2.6,,-0.1,3.9,39,0.592,0.516,"$562,100 ",Amateur Draft
Giovanny Gallegos\gallegi01,27,63.1,55,0,16,2.27,4.77,0.21,-0.33,96.4,4.08,13,1.3,1.08,-0.1,1.8,19,0.524,0.508,,Traded
John Gant\gantjo01,26,62.1,56,0,22,3.18,4.83,0.26,-0.33,95.8,4.06,7,0.7,1.41,0,1.2,12,0.512,0.504,"$571,300 ",Traded
Luke Gregerson\gregelu01,35,5.2,6,0,5,7.94,4.7,0.41,-0.32,98.8,3.92,-2,-0.2,0.09,0.1,-0.1,-2,0.46,0.499,"$5,000,000 ",Free Agency
Jedd Gyorko\gyorkje01,30,0.1,1,0,0,0,4.32,0,-0.3,92,3.7,0,0,0,0,0,0,0.514,0.5,"$13,000,000 ",Traded
Ryan Helsley\helslry01,24,27.2,15,0,7,2.28,4.68,0.26,-0.32,95.6,3.92,5,0.5,0.45,-0.2,0.6,8,0.536,0.503,,Amateur Draft
Jordan Hicks (60-day IL)\hicksjo03,22,28.2,29,0,10,3.14,4.71,0.23,-0.32,96.7,4.02,3,0.3,1.35,0,0.6,6,0.51,0.502,"$555,000 ",Amateur Draft
Dakota Hudson\hudsoda02,24,153.2,29,28,73,4.28,4.71,0.3,0.2,95.5,4.41,3,0.3,7.37,-0.1,1.6,17,0.511,0.502,"$559,100 ",Amateur Draft
Dominic Leone\leonedo01,27,35.2,35,0,26,6.56,4.84,0.27,-0.33,96.7,4.1,-10,-0.9,0.51,0.1,-0.5,-6,0.473,0.494,"$1,260,000 ",Traded
Carlos Martinez\martica04,27,40,38,0,15,3.38,4.67,0.25,-0.32,95.8,3.93,3,0.3,1.68,0,0.6,6,0.507,0.502,"$11,700,000 ",Free Agency
Mike Mayers\mayermi01,27,15.2,13,0,12,6.89,4.91,0.32,-0.34,95.5,4.07,-5,-0.5,0.67,0,-0.3,-3,0.464,0.497,"$563,700 ",Amateur Draft
Adalberto Mejia*\mejiaad01,26,3,2,0,3,9,6.19,0.45,-0.42,87.2,4.63,-1,-0.1,0.2,0,-0.1,-1,0.432,0.499,,Waivers
Miles Mikolas\mikolmi01,30,160.1,28,28,81,4.55,4.76,0.31,0.21,95.7,4.46,-1,-0.1,,-0.1,1.3,14,0.498,0.5,"$8,000,000 ",Free Agency
Andrew Miller*\millean01,34,45.2,62,0,23,4.53,4.96,0.22,-0.34,96,4.22,-1,-0.1,1.66,-0.1,0.1,3,0.498,0.499,"$11,000,000 ",Free Agency
Daniel Ponce de Leon\ponceda01,27,44.2,11,8,21,4.23,4.76,0.25,0.15,91.7,4.27,0,0,0.47,0,0.4,4,0.504,0.5,,Amateur Draft
Alex Reyes (7-day IL)\reyesal02,24,3,4,0,5,15,4.69,0.33,-0.32,96.5,3.89,-4,-0.3,1.33,-0.1,-0.4,-3,0.415,0.498,"$564,600 ",Amateur Free Agent
Chasen Shreve*\shrevch01,28,2,3,0,2,9,4.64,0.29,-0.32,97.8,3.94,-1,-0.1,1.38,0,-0.1,-1,0.464,0.499,"$900,000 ",Traded
Michael Wacha\wachami01,27,112,25,20,66,5.3,4.78,0.3,0.15,95.7,4.42,-10,-1,1.01,-0.1,-0.1,0,0.46,0.494,"$6,350,000 ",Amateur Draft
Adam Wainwright\wainwad01,37,142.1,26,26,70,4.43,4.76,0.29,0.21,96.5,4.52,2,0.2,,-0.1,1.4,15,0.509,0.501,"$2,000,000 ",Free Agency
Tyler Webb*\webbty01,28,46,54,0,21,4.11,4.88,0.27,-0.33,96,4.1,0,0,0.65,-0.1,0.3,4,0.501,0.5,,Waivers
Team Total,27.8,1239.1,589,140,574,4.17,4.78,0.27,0,95.8,4.31,28,3.1,1.08,-1,13.2,137,0.505,0.502,"$63,155,100 ",
