yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Covered,RoofType
2006,AL,BAL,E,4,162,81,70,92,2153139,26582,30.4,27.9,99,99,72585582,0,Open
2006,AL,BOS,E,3,162,81,86,76,2930588,36180,30.5,31.1,105,104,120099824,0,Open
2006,AL,CHW,C,3,162,81,90,72,2957414,36511,29.8,27.9,104,104,102750667,0,Open
2006,AL,CLE,C,4,162,81,78,84,1997995,24667,27.7,28.6,99,98,56031500,0,Open
2006,AL,DET,C,2,162,81,95,67,2595937,32049,29.3,28.8,100,99,82612866,0,Open
2006,AL,KCR,C,5,162,81,62,100,1372638,16946,29.7,27.7,101,103,47694000,0,Open
2006,AL,ANA,W,2,162,81,89,73,3406790,42059,28.8,27.9,100,99,103472000,0,Open
2006,AL,MIN,C,1,162,81,96,66,2285018,28210,28.3,26.9,98,98,63396006,0,Open
2006,AL,NYY,E,1,162,81,97,65,4248067,52445,30.9,32.5,101,99,194663079,0,Open
2006,AL,OAK,W,1,162,81,93,69,1976625,24403,29.7,27,97,97,64843079,0,Open
2006,AL,SEA,W,4,162,81,78,84,2481165,30632,28.7,28,97,97,87959833,1,Retractable
2006,AL,TBD,E,5,162,81,61,101,1368950,16901,27.3,27,99,100,34917967,1,Fixed
2006,AL,TEX,W,3,162,81,80,82,2388757,29491,28.4,28.3,101,101,68228662,0,Open
2006,AL,TOR,E,2,162,81,87,75,2302212,28422,28.6,28.1,100,100,71365000,1,Retractable
2007,AL,BAL,E,4,162,81,69,93,2164822,26726,30.4,29,101,102,93174808,0,Open
2007,AL,BOS,E,1,162,81,96,66,2970755,36676,30.1,31.1,106,105,143026214,0,Open
2007,AL,CHW,C,4,162,81,72,90,2684395,33141,29.8,27.7,104,104,108671833,0,Open
2007,AL,CLE,C,1,162,80,96,66,2275912,28449,28,29.4,101,100,61673267,0,Open
2007,AL,DET,C,2,162,81,88,74,3047133,37619,30.9,28.5,102,101,95180369,0,Open
2007,AL,KCR,C,5,162,81,69,93,1616867,19961,28,27.1,100,101,67691500,0,Open
2007,AL,ANA,W,1,162,81,94,68,3365632,41551,28.6,28.4,101,100,109251333,0,Open
2007,AL,MIN,C,3,162,81,79,83,2296383,28350,28.4,27.4,95,95,71439500,0,Open
2007,AL,NYY,E,2,162,81,94,68,4271083,52729,30.7,31.4,101,100,207039045,0,Open
2007,AL,OAK,W,3,162,81,76,86,1921844,23726,28.9,26.9,94,94,79366940,0,Open
2007,AL,SEA,W,2,162,82,88,74,2672223,32588,29.9,28.1,96,97,106460833,1,Retractable
2007,AL,TBD,E,5,162,81,66,96,1387603,17131,25.9,27,98,100,24623500,1,Fixed
2007,AL,TEX,W,4,162,81,75,87,2353862,29060,29.4,27.7,101,101,68643675,0,Open
2007,AL,TOR,E,3,162,81,83,79,2360644,29144,30.5,27.3,100,99,81942800,1,Retractable
2008,AL,BAL,E,5,161,81,68,93,1950075,24376,30.1,27.9,101,102,67196246,0,Open
2008,AL,BOS,E,2,162,81,95,67,3048250,37633,29.8,29.2,107,106,133390035,0,Open
2008,AL,CHW,C,1,163,82,89,74,2500648,30496,30.6,28.3,104,105,121189332,0,Open
2008,AL,CLE,C,3,162,81,81,81,2169760,26787,27.6,28.6,98,97,78970066,0,Open
2008,AL,DET,C,5,162,81,74,88,3202645,39539,30.3,29.9,102,102,138785196,0,Open
2008,AL,KCR,C,4,162,81,75,87,1578922,19493,28,27.6,98,99,59445500,0,Open
2008,AL,ANA,W,1,162,81,100,62,3336747,41194,29,27.6,102,102,119216333,0,Open
2008,AL,MIN,C,2,163,81,88,75,2302431,28425,26.2,27.5,96,96,56932766,0,Open
2008,AL,NYY,E,3,162,81,89,73,4298655,53070,31.4,30.6,103,101,212286789,0,Open
2008,AL,OAK,W,3,161,81,75,86,1665256,20559,27.2,26.5,94,94,47967126,0,Open
2008,AL,SEA,W,4,162,81,61,101,2329702,28762,29.7,28.5,96,97,117666482,1,Retractable
2008,AL,TBD,E,1,162,81,97,65,1811986,22370,27,27.5,101,101,44970597,1,Fixed
2008,AL,TEX,W,2,162,81,79,83,1945677,24021,27.7,28.1,101,102,68037326,0,Open
2008,AL,TOR,E,4,162,81,86,76,2399786,29627,31,28.6,97,97,97793900,1,Retractable
2009,AL,BAL,E,5,162,81,64,98,1907163,23545,28.7,28.1,101,102,69904166,0,Open
2009,AL,BOS,E,2,162,81,95,67,3062699,37811,30,29.8,105,104,125439499,0,Open
2009,AL,CHW,C,3,162,81,79,83,2284163,28200,29.8,29.5,105,105,101081000,0,Open
2009,AL,CLE,C,4,162,81,65,97,1766242,21805,27.4,27.8,95,95,85224866,0,Open
2009,AL,DET,C,2,163,81,86,77,2567165,31693,29.8,26.6,101,101,119510145,0,Open
2009,AL,KCR,C,4,162,81,65,97,1797891,22196,27.6,28.7,97,99,76817333,0,Open
2009,AL,ANA,W,1,162,81,97,65,3240386,40005,29.6,28.6,99,98,118169000,0,Open
2009,AL,MIN,C,1,163,82,87,76,2416237,29466,27.6,27.9,98,98,67804266,0,Open
2009,AL,NYY,E,1,162,81,103,59,3719358,45918,30.6,29.3,105,103,210330039,0,Open
2009,AL,OAK,W,4,162,81,75,87,1408783,17392,29.1,25.7,98,98,65945000,0,Open
2009,AL,SEA,W,3,162,81,85,77,2195533,27105,29.9,27.4,94,95,100134166,1,Retractable
2009,AL,TBD,E,3,162,81,84,78,1874962,23148,27.8,28.4,98,97,67270334,1,Fixed
2009,AL,TEX,W,2,162,81,87,75,2156016,26617,27.8,27.7,104,104,79723548,0,Open
2009,AL,TOR,E,4,162,81,75,87,1876129,23162,29.9,28.4,100,99,83964500,1,Retractable
2010,AL,BAL,E,5,162,81,66,96,1733019,21395,28.6,28.4,99,100,81612500,0,Open
2010,AL,BOS,E,3,162,81,89,73,3046445,37610,30.9,29.6,106,105,164507333,0,Open
2010,AL,CHW,C,2,162,81,88,74,2194378,27091,30.7,29,103,103,107195000,0,Open
2010,AL,CLE,C,4,162,81,69,93,1391644,17181,27.2,26.6,94,95,61203966,0,Open
2010,AL,DET,C,3,162,81,81,81,2461237,30386,29,26.5,102,101,124039928,0,Open
2010,AL,KCR,C,5,162,81,67,95,1615327,19942,28.9,27.5,99,101,73105210,0,Open
2010,AL,ANA,W,3,162,81,80,82,3250814,40134,29.7,28.3,96,96,104963866,0,Open
2010,AL,MIN,C,1,162,81,94,68,3223640,39798,28.4,28.6,98,98,97559166,0,Open
2010,AL,NYY,E,2,162,81,95,67,3765807,46491,30.3,30.3,106,104,210733389,0,Open
2010,AL,OAK,W,2,162,81,81,81,1418391,17511,27.8,26,99,99,57904900,0,Open
2010,AL,SEA,W,4,162,81,61,101,2085630,25749,29.6,27.1,93,95,86510000,1,Retractable
2010,AL,TBD,E,1,162,81,96,66,1864999,23025,27.5,28,95,94,71923471,1,Fixed
2010,AL,TEX,W,1,162,81,90,72,2505171,30928,28.3,27.6,109,108,56474374,0,Open
2010,AL,TOR,E,4,162,78,85,77,1495482,19173,29.3,28,102,101,62734000,1,Retractable
2011,AL,BAL,E,5,162,81,69,93,1755461,21672,28.3,28.2,102,103,88299038,0,Open
2011,AL,BOS,E,3,162,81,90,72,3054001,37704,30.1,30.3,105,105,166662475,0,Open
2011,AL,CHW,C,3,162,81,79,83,2001117,24705,30,28.5,106,106,127789000,0,Open
2011,AL,CLE,C,2,162,81,80,82,1840835,22726,27.8,26.7,94,96,49426566,0,Open
2011,AL,DET,C,1,162,81,95,67,2642045,32618,28.6,27.8,102,101,106875231,0,Open
2011,AL,KCR,C,4,162,81,71,91,1724450,21290,25.8,26.4,99,100,35712000,0,Open
2011,AL,ANA,W,2,162,81,86,76,3166321,39090,28.9,28.4,92,92,138543166,0,Open
2011,AL,MIN,C,5,162,81,63,99,3168116,39113,27.5,28.5,99,99,112737000,0,Open
2011,AL,NYY,E,1,162,81,97,65,3653680,45107,30.6,31,106,105,206275028,0,Open
2011,AL,OAK,W,3,162,81,74,88,1476791,18232,29.1,27.4,98,98,67094000,0,Open
2011,AL,SEA,W,4,162,84,67,95,1896321,23411,29.3,26.8,90,92,86110600,1,Retractable
2011,AL,TBD,E,2,162,81,91,71,1529188,18879,28.2,27.8,93,92,41053571,1,Fixed
2011,AL,TEX,W,1,162,81,96,66,2946949,36382,29.1,28.8,109,108,93799264,0,Open
2011,AL,TOR,E,4,162,81,81,81,1818103,22446,28.3,27.6,104,104,64567800,1,Retractable
2012,AL,BAL,E,2,162,81,93,69,2102240,25954,28,27.6,102,103,77949000,0,Open
2012,AL,BOS,E,5,162,81,69,93,3043003,37568,29.4,28.7,104,103,110386000,0,Open
2012,AL,CHW,C,2,162,81,85,77,1965955,24271,30,27.5,104,104,118208000,0,Open
2012,AL,CLE,C,4,162,81,68,94,1603596,19797,27.8,27.6,94,95,78911300,0,Open
2012,AL,DET,C,1,162,81,88,74,3028033,37383,27.9,28.2,105,104,131394000,0,Open
2012,AL,KCR,C,3,162,81,72,90,1739859,21480,26.1,27.3,102,102,61747075,0,Open
2012,AL,ANA,W,3,162,81,89,73,3061770,37800,28.7,30.1,94,93,141073500,0,Open
2012,AL,MIN,C,5,162,81,66,96,2776354,34276,28.9,27.8,98,100,99066000,0,Open
2012,AL,NYY,E,1,162,81,95,67,3542406,43733,32.9,30.3,104,103,197977900,0,Open
2012,AL,OAK,W,1,162,81,94,68,1679013,20729,27.7,27.9,95,95,61202500,0,Open
2012,AL,SEA,W,4,162,81,75,87,1721920,21258,27,27.9,92,93,78235600,1,Retractable
2012,AL,TBD,E,3,162,81,90,72,1559681,19255,29.7,28.1,95,94,63368700,1,Fixed
2012,AL,TEX,W,2,162,81,93,69,3460280,42720,29.7,28.8,109,107,124119900,0,Open
2012,AL,TOR,E,4,162,81,73,89,2099663,25922,27.8,27.8,102,103,82352700,1,Retractable
2013,AL,BAL,E,3,162,81,85,77,2357561,29106,27.8,27.9,103,102,100832000,0,Open
2013,AL,BOS,E,1,162,81,97,65,2833333,34979,29.6,30.2,103,103,175395500,0,Open
2013,AL,CHW,C,5,162,81,63,99,1768413,21832,29.2,27.1,104,105,81401900,0,Open
2013,AL,CLE,C,2,162,81,92,70,1572926,19419,28.7,27.5,95,95,87342433,0,Open
2013,AL,DET,C,1,162,81,93,69,3083397,38067,30,28.4,104,104,154407000,0,Open
2013,AL,HOU,W,5,162,81,51,111,1651883,20394,25.9,27.2,99,101,14672300,1,Retractable
2013,AL,KCR,C,3,162,81,86,76,1750754,21614,26.9,28.9,103,103,87426250,0,Open
2013,AL,ANA,W,3,162,81,78,84,3019505,37278,27.8,29.1,94,94,116532500,0,Open
2013,AL,MIN,C,4,162,81,66,96,2477644,30588,28.3,28.3,101,102,63042500,0,Open
2013,AL,NYY,E,4,162,81,85,77,3279589,40489,31.9,31.8,100,100,246534750,0,Open
2013,AL,OAK,W,1,162,81,96,66,1809302,22337,28.3,28.3,98,97,69440000,0,Open
2013,AL,SEA,W,4,162,81,71,91,1761546,21747,28.6,28,92,92,78887000,1,Retractable
2013,AL,TBD,E,2,163,81,92,71,1510300,18646,29.5,29,97,96,71163500,1,Fixed
2013,AL,TEX,W,2,163,82,91,72,3178273,38759,29.6,27.9,103,103,139261200,0,Open
2013,AL,TOR,E,5,162,81,74,88,2536562,31316,29,30.9,102,103,124517800,1,Retractable
2014,AL,BAL,E,1,162,81,96,66,2464473,30426,28.3,27.7,103,103,109097500,0,Open
2014,AL,BOS,E,5,162,81,71,91,2956089,36495,29.2,29.9,104,104,134628929,0,Open
2014,AL,CHW,C,4,162,81,73,89,1650821,20381,27.7,27.4,97,98,87475500,0,Open
2014,AL,CLE,C,3,162,81,85,77,1437393,17746,28.6,27.2,103,102,73509399,0,Open
2014,AL,DET,C,1,162,81,90,72,2917209,36015,29.8,28.5,101,101,169135500,0,Open
2014,AL,HOU,W,4,162,81,70,92,1751829,21628,25.4,27.9,100,101,44736800,1,Retractable
2014,AL,KCR,C,2,162,81,89,73,1956482,24154,28.2,28.9,104,103,89804075,0,Open
2014,AL,ANA,W,1,162,81,98,64,3095935,38221,29.3,28.4,95,94,128667000,0,Open
2014,AL,MIN,C,5,162,81,70,92,2250606,27785,27.5,29.2,102,102,87044000,0,Open
2014,AL,NYY,E,2,162,81,84,78,3401624,41995,32.8,29.3,100,100,258118959,0,Open
2014,AL,OAK,W,2,162,81,88,74,2003628,24736,29.6,28.2,98,97,89160900,0,Open
2014,AL,SEA,W,3,162,81,87,75,2064334,25486,27.5,29,95,95,95471000,1,Retractable
2014,AL,TBD,E,4,162,81,77,85,1446464,17858,29.3,28.4,97,97,77814300,1,Fixed
2014,AL,TEX,W,5,162,81,67,95,2718733,33565,28.4,27.9,104,104,129801239,0,Open
2014,AL,TOR,E,3,162,81,83,79,2375525,29327,29.2,29.6,100,99,136466200,1,Retractable
2015,AL,BAL,E,3,162,78,81,81,2281202,29246,27.9,28.3,102,102,112989833,0,Open
2015,AL,BOS,E,5,162,81,78,84,2880694,35564,28.3,28.6,107,107,183931900,0,Open
2015,AL,CHW,C,4,162,81,76,86,1755810,21677,28.2,27.8,96,97,112889700,0,Open
2015,AL,CLE,C,3,161,80,81,80,1388905,17361,28,27.3,107,107,59163766,0,Open
2015,AL,DET,C,5,161,81,74,87,2726048,33655,28.3,28.7,99,99,172284750,0,Open
2015,AL,HOU,W,2,162,81,86,76,2153585,26587,26.3,29.4,97,97,93256200,1,Retractable
2015,AL,KCR,C,1,162,81,95,67,2708549,33439,29.1,30,104,104,121590475,0,Open
2015,AL,ANA,W,3,162,81,85,77,3012765,37195,28.7,28.3,94,94,131522500,0,Open
2015,AL,MIN,C,2,162,81,83,79,2220054,27408,28.3,29.1,100,101,107755000,0,Open
2015,AL,NYY,E,2,162,81,87,75,3193795,39430,31.4,27.4,101,101,214051957,0,Open
2015,AL,OAK,W,5,162,81,68,94,1768175,21829,27.9,27.8,97,97,64016001,0,Open
2015,AL,SEA,W,4,162,81,76,86,2193581,27081,28.6,28.6,95,95,130681400,1,Retractable
2015,AL,TBD,E,4,162,84,80,82,1287054,15322,28.5,26.7,96,97,64571233,1,Fixed
2015,AL,TEX,W,1,162,81,88,74,2491875,30764,28.7,28.1,105,105,178860789,0,Open
2015,AL,TOR,E,1,162,81,93,69,2794891,34505,29.6,29.2,103,102,117917400,1,Retractable
2016,AL,BAL,E,2,162,81,89,73,2172344,26819,28.5,27.9,102,102,153744833,0,Open
2016,AL,BOS,E,1,162,81,93,69,2955434,36487,28.5,29,106,106,218682750,0,Open
2016,AL,CHW,C,4,162,81,78,84,1746293,21559,28.3,28.6,96,96,113416000,0,Open
2016,AL,CLE,C,1,161,80,94,67,1591667,19650,29,28.1,109,107,94511067,0,Open
2016,AL,DET,C,2,161,81,86,75,2493859,31173,30,29,100,101,199902000,0,Open
2016,AL,HOU,W,3,162,81,84,78,2306623,28477,26.4,28.9,94,93,89498000,1,Retractable
2016,AL,KCR,C,3,162,81,81,81,2557712,31577,28.5,29.9,102,102,125132675,0,Open
2016,AL,ANA,W,4,162,81,74,88,3016142,37236,28.5,28.4,95,95,139712000,0,Open
2016,AL,MIN,C,5,162,81,59,103,1963912,24246,26.9,28.3,100,100,93333700,0,Open
2016,AL,NYY,E,4,162,81,84,78,3063405,37820,30.1,27.9,103,102,193229350,0,Open
2016,AL,OAK,W,5,162,81,69,93,1521506,18784,28.7,27.9,96,97,54969067,0,Open
2016,AL,SEA,W,2,162,81,86,76,2267928,27999,30.5,28.8,96,96,137169100,1,Retractable
