Name,Age,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,Team
Jarren Duran,27,160,735,21,34,7.3%,21.8%,0.207,0.345,0.285,0.342,0.492,0.357,129,8.4,32.8,7.9,6.7,Red Sox
Rafael Devers,27,138,601,28,3,11.1%,24.5%,0.244,0.323,0.272,0.354,0.516,0.364,134,-0.9,22.5,-2.6,4.1,Red Sox
Wilyer Abreu,25,132,447,15,8,8.9%,28.0%,0.206,0.326,0.253,0.322,0.459,0.336,114,1.3,8.5,6.3,3.1,Red Sox
Tyler O'Neill,29,113,473,31,4,11.2%,33.6%,0.27,0.305,0.241,0.336,0.511,0.36,131,-0.8,16,-7.7,2.5,Red Sox
David Hamilton,26,98,317,8,33,6.9%,25.2%,0.146,0.316,0.248,0.303,0.395,0.305,92,6.2,3.4,2.1,1.7,Red Sox
Rob Refsnyder,33,93,307,11,2,9.1%,25.4%,0.188,0.359,0.283,0.359,0.471,0.358,130,-1.2,9.4,-7.8,1.2,Red Sox
Connor Wong,28,126,487,13,8,5.7%,23.4%,0.145,0.348,0.28,0.333,0.425,0.33,110,-0.2,5.5,-11.5,1.1,Red Sox
Ceddanne Rafaela,23,152,571,15,19,2.6%,26.4%,0.143,0.312,0.246,0.274,0.39,0.286,79,0.6,-13,2.2,0.9,Red Sox
Masataka Yoshida,30,108,421,10,2,6.4%,12.4%,0.135,0.302,0.28,0.349,0.415,0.336,115,-2.5,4.6,-10.9,0.8,Red Sox
Trevor Story,31,26,106,2,6,10.4%,31.1%,0.138,0.373,0.255,0.34,0.394,0.318,101,-0.1,0.1,2.5,0.6,Red Sox
Triston Casas,24,63,243,13,0,12.3%,31.7%,0.222,0.311,0.241,0.337,0.462,0.342,119,-2.2,3,-5.3,0.6,Red Sox
Nick Sogard,26,31,86,0,3,8.1%,29.1%,0.052,0.389,0.273,0.326,0.325,0.289,81,0.4,-1.5,1.6,0.3,Red Sox
Dominic Smith,29,84,278,6,1,9.0%,23.4%,0.153,0.298,0.237,0.317,0.39,0.311,97,-1.8,-2.7,-3.9,0.3,Red Sox
Romy Gonzalez,27,89,216,6,11,5.6%,26.9%,0.151,0.338,0.266,0.306,0.417,0.311,97,-0.3,-1.1,-4.3,0.2,Red Sox
Reese McGuire,29,53,158,3,3,8.2%,24.7%,0.086,0.26,0.209,0.28,0.295,0.259,60,-0.3,-7.5,3.8,0.2,Red Sox
Tyler Heineman,33,2,3,0,0,0.0%,33.3%,0,0,0,0.333,0,0.24,47,0,-0.2,0.3,0,Red Sox
Kenley Jansen,36,54,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Rich Hill,44,4,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Chase Anderson,36,27,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Luis Garcia,37,15,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Joely Rodriguez,32,14,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
James Paxton,35,3,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Chris Martin,38,45,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Lucas Sims,30,15,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Nick Pivetta,31,27,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Brad Keller,28,11,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Cam Booser,32,43,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Brennan Bernardino,32,57,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Trey Wingenter,30,2,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Yohan Ramirez,29,1,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Tanner Houck,28,30,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Garrett Whitlock,28,4,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Zack Kelly,29,49,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Greg Weissert,29,62,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Kutter Crawford,28,33,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Chase Shugart,27,6,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Josh Winckowski,26,40,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Brayan Bello,25,30,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Cooper Criswell,27,26,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Joe Jacques,29,1,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Zach Penrod,27,7,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Isaiah Campbell,26,8,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Justin Slaten,26,44,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Quinn Priester,23,1,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
Bailey Horn,26,18,0,0,0,0.0%,0.0%,0,0,0,0,0,0,NA,0,0,0,0,Red Sox
