Name,Pos,G,GS,Inn,PO,A,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def,Team
Nick Sogard,1B,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,Red Sox
Mickey Gasper,1B,2,0,2,1,0,0,NA,NA,-0.2,0.1,-0.1,-8.1,0,Red Sox
Romy Gonzalez,1B,20,10,93,75,14,3,NA,-0.2,0.9,0.3,1,17.3,-0.3,Red Sox
Garrett Cooper,1B,12,9,75,55,8,-2,NA,-0.1,0.2,-0.4,-0.2,-2.2,-0.3,Red Sox
Pablo Reyes,1B,2,1,10,8,2,0,NA,NA,NA,NA,NA,NA,-0.6,Red Sox
Bobby Dalbec,1B,21,14,122.1,95,14,2,NA,-0.1,0.1,0.8,0.8,4.8,-1.1,Red Sox
Dominic Smith,1B,77,66,573.2,443,76,-2,NA,0.1,0.2,-3.1,-2.8,-7.5,-3.4,Red Sox
Connor Wong,1B,14,6,64.2,53,5,-2,NA,NA,0,-1,-1,0,-3.9,Red Sox
Triston Casas,1B,61,56,512,450,50,-1,NA,0,0.6,-1.5,-0.9,-3.2,-5.2,Red Sox
David Hamilton,2B,39,28,266.2,51,84,8,NA,-0.1,0.3,-1.2,-0.9,-7.8,2.6,Red Sox
Ceddanne Rafaela,2B,10,4,45,4,16,0,NA,-0.1,0,0.1,0,5,0.4,Red Sox
Jamie Westbrook,2B,19,13,102,21,35,0,NA,-0.4,0,-0.6,-1,-27.2,0.2,Red Sox
Connor Wong,2B,6,1,19,3,3,0,NA,NA,0.3,0,0.3,48,0.2,Red Sox
Pablo Reyes,2B,9,4,39,5,17,0,NA,NA,-0.4,0.2,-0.2,-8.2,0.1,Red Sox
Nick Sogard,2B,18,11,99,19,26,-1,NA,NA,0.4,0.1,0.5,19.8,0.1,Red Sox
Zack Short,2B,1,1,9,1,4,0,NA,NA,NA,NA,NA,NA,0.1,Red Sox
Mickey Gasper,2B,6,3,30,4,11,1,NA,-0.5,0,0.1,-0.4,-9.6,-0.3,Red Sox
Vaughn Grissom,2B,30,28,245,35,85,1,NA,0.1,-0.4,-0.9,-1.2,-7.4,-1.3,Red Sox
Romy Gonzalez,2B,31,13,130.1,22,32,-2,NA,-0.3,0.3,-0.9,-1,-27.8,-2.1,Red Sox
Enmanuel Valdez,2B,65,56,467.2,69,140,-5,NA,-0.3,1.6,-1.1,0.3,0.5,-5.3,Red Sox
Nick Sogard,3B,7,6,55.1,5,15,3,NA,0.2,-0.2,0.6,0.6,11.9,0.7,Red Sox
Bobby Dalbec,3B,13,7,74,4,12,-1,NA,-0.1,-0.1,0.4,0.2,3.6,0.7,Red Sox
Ceddanne Rafaela,3B,4,0,7,0,1,0,NA,NA,NA,NA,NA,NA,0.1,Red Sox
Jamie Westbrook,3B,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0,Red Sox
Zack Short,3B,1,1,9,0,1,0,NA,NA,0.1,0.1,0.2,28.2,0,Red Sox
Pablo Reyes,3B,11,9,78.1,6,17,0,NA,-0.3,1.2,-2,-1.1,-13.9,-0.5,Red Sox
Enmanuel Valdez,3B,3,1,10.2,2,0,0,NA,NA,-0.4,0.1,-0.3,-22.2,-0.6,Red Sox
