Name,Age,G,GS,IP,K%,BB%,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,Team
Justin Slaten,26,44,0,55.1,25.9%,4.0%,0.65,0.285,70.6%,50.0%,8.9%,2.93,2.61,2.9,1.5,Red Sox
Kenley Jansen,36,54,0,54.2,28.4%,9.2%,0.66,0.26,73.0%,30.6%,5.6%,3.29,3,4.04,1.4,Red Sox
Chris Martin,38,45,0,44.1,27.8%,1.7%,1.02,0.353,67.4%,46.3%,13.2%,3.45,2.78,2.61,0.9,Red Sox
Greg Weissert,29,62,0,63.1,22.1%,7.6%,0.99,0.326,70.5%,41.2%,10.3%,3.13,3.72,3.91,0.5,Red Sox
Luis Guerrero,23,9,0,10,25.0%,5.6%,0,0.24,87.5%,41.7%,0.0%,0,1.97,3.63,0.3,Red Sox
Cam Booser,32,43,0,42.2,23.5%,8.7%,1.05,0.303,80.0%,30.3%,8.3%,3.38,3.8,4.4,0.3,Red Sox
Josh Winckowski,26,34,0,53.2,21.0%,8.9%,1.01,0.337,61.9%,49.4%,11.5%,4.86,4.02,4.04,0.3,Red Sox
Nick Pivetta,31,1,0,6,43.5%,0.0%,1.5,0.25,38.5%,30.8%,20.0%,3,2,1.09,0.2,Red Sox
Naoyuki Uwasawa,30,2,0,4,18.8%,12.5%,0,0.182,75.0%,36.4%,0.0%,2.25,3.17,5.06,0.1,Red Sox
Brennan Bernardino,32,54,0,47.1,24.1%,9.4%,1.14,0.331,76.2%,44.4%,13.6%,4.37,4.24,4,0.1,Red Sox
Cooper Criswell,27,8,0,14.1,8.5%,9.9%,0,0.379,44.8%,44.8%,0.0%,7.53,3.79,5.9,0.1,Red Sox
Chase Shugart,27,6,0,8.2,22.2%,8.3%,1.04,0.292,72.9%,28.0%,7.1%,4.15,3.86,4.8,0.1,Red Sox
Joe Jacques,29,1,0,1.2,22.2%,0.0%,0,0.5,75.0%,66.7%,0.0%,5.4,2.57,3.47,0,Red Sox
