bbrefID,position,highschool
byrneto01,Pitcher,"Baltimore City College (Baltimore, MD)"
fordwh01,Pitcher,"Aviation Career & Technical Education HS (Long Island City, NY)"
lemonbo01,Pitcher,"Woodrow Wilson HS (Long Beach, CA)"
newcodo01,Pitcher,"Thomas Jefferson HS (Elizabeth, NJ)"
nuxhajo01,Pitcher,"Hamilton HS (Hamilton, OH)"
roberro01,Pitcher,"Lanphier HS (Springfield, IL)"
spahnwa01,Pitcher,"South Park HS (Buffalo, NY)"
sullifr01,Pitcher,"Burbank HS (Burbank, CA)"
turlebo01,Pitcher,"Central HS (East St. Louis, IL)"
wynnea01,Pitcher,"Geneva County HS (Hartford, AL)"
