Player,REB,AST,STL,BLK,TOV,PF,PTS,Salary
Álex Abrines,1.5,0.6,0.5,0.2,0.5,1.7,5.3,3575183
Aaron Gordon,7.4,3.7,0.7,0.7,2.1,2.2,16,21590909
Aaron Gordon,7.7,3.7,0.8,0.6,1.6,2,14.4,19863636
Aaron Gordon,5.7,3.2,0.7,0.7,1.9,1.8,12.4,18136364
Aaron Gordon,5.9,2.5,0.6,0.6,1.8,2,15,16409091
Aaron Gordon,6.6,3,0.8,0.8,1.4,1.9,16.3,19690909
Aaron Holiday,1.3,1.7,0.4,0.3,0.8,1.4,5.9,1911960
Aaron Holiday,2.4,3.4,0.8,0.2,1.3,1.8,9.5,2239200
Aaron Holiday,1.3,1.9,0.7,0.2,1,1.4,7.2,2345640
Aaron Holiday,1.9,2.4,0.7,0.1,1.1,1.5,6.3,3980551
Aaron Holiday,1.2,1.4,0.6,0.2,0.6,1.3,3.9,1836090
Aaron Nesmith,2.8,0.5,0.3,0.2,0.5,1.9,4.7,3458400
Aaron Nesmith,1.7,0.4,0.4,0.1,0.6,1.3,3.8,3631200
Aaron Nesmith,3.8,1.3,0.8,0.5,1,3.2,10.1,3804360
Aaron Wiggins,3.6,1.4,0.6,0.2,1.1,1.9,8.3,1000000
Aaron Wiggins,3,1.1,0.6,0.2,0.8,1.6,6.8,1563518
Abdel Nader,1.9,0.3,0.3,0.2,0.4,1.1,4,1378242
Abdel Nader,1.8,0.7,0.4,0.4,0.8,1.4,6.3,1618520
AJ Griffin,2.1,1,0.6,0.2,0.6,1.2,8.9,3536160
Al Horford,6.7,4.2,0.9,1.3,1.5,1.9,13.6,28928710
Al Horford,6.8,4,0.8,0.9,1.2,2.1,11.9,28000000
Al Horford,6.7,3.4,0.9,0.9,1,1.7,14.2,27500000
Al Horford,7.7,3.4,0.7,1.3,0.9,1.9,10.2,27000000
Al Horford,6.2,3,0.5,1,0.6,1.9,9.8,26500000
Al-Farouq Aminu,7.5,1.3,0.8,0.4,0.9,1.8,9.4,6957105
Alec Burks,3.7,2,0.6,0.3,1,1.4,8.8,11536515
Alec Burks,4.3,2.9,0.9,0.3,1.4,1.9,15,2320044
Alec Burks,4.6,2.2,0.6,0.3,1,2.1,12.7,6000000
Alec Burks,4.9,3,1,0.3,1.1,2.7,11.7,9536000
