Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-05,Ravens,Chiefs,-2.5,2.5,2.5,0.59,0.41,475558,0,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-06,Packers,Eagles,-2,2,2,0.64,0.36,382046,0,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-08,Steelers,Falcons,-4,4,4,0.84,0.16,149401,0,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-08,Jaguars,Dolphins,-3.5,3.5,3.5,0.53,0.47,166435,0,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-08,Vikings,Giants,1,-1,1,0.7,0.3,135335,1,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-08,Titans,Bears,-4,4,4,0.68,0.32,153591,0,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-08,Panthers,Saints,-3.5,3.5,3.5,0.64,0.36,140606,0,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-08,Cardinals,Bills,-6.5,6.5,6.5,0.65,0.35,162376,0,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-08,Patriots,Bengals,-7.5,7.5,7.5,0.31,0.69,126354,0,,,,,,,,,,,,,,,,,,,,,,,
10,2024-09-08,Texans,Colts,3,-3,3,0.43,0.57,161498,1,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-08,Broncos,Seahawks,-6.5,6.5,6.5,0.47,0.53,141414,0,,,,,,,,,,,,,,,,,,,,,,,
12,2024-09-08,Raiders,Chargers,-3,3,3,0.71,0.29,118478,0,,,,,,,,,,,,,,,,,,,,,,,
13,2024-09-08,Cowboys,Browns,-2,2,2,0.92,0.08,164522,0,,,,,,,,,,,,,,,,,,,,,,,
14,2024-09-08,Commanders,Buccaneers,-4,4,4,0.62,0.38,137385,0,,,,,,,,,,,,,,,,,,,,,,,
15,2024-09-08,Rams,Lions,-5.5,5.5,5.5,0.56,0.44,273751,0,,,,,,,,,,,,,,,,,,,,,,,
16,2024-09-09,Jets,49ers,-3.5,3.5,3.5,0.53,0.47,417997,0,,,,,,,,,,,,,,,,,,,,,,,
17,2024-09-12,Bills,Dolphins,-2.5,2.5,2.5,0.73,0.27,448764,0,,,,,,,,,,,,,,,,,,,,,,,
18,2024-09-15,Chargers,Panthers,4.5,-4.5,4.5,0.65,0.35,129231,1,,,,,,,,,,,,,,,,,,,,,,,
19,2024-09-15,Saints,Cowboys,-6.5,6.5,6.5,0.42,0.58,159155,0,,,,,,,,,,,,,,,,,,,,,,,
20,2024-09-15,Raiders,Ravens,-8.5,8.5,8.5,0.37,0.63,151410,0,,,,,,,,,,,,,,,,,,,,,,,
21,2024-09-15,Buccaneers,Lions,-7.5,7.5,7.5,0.72,0.28,152279,0,,,,,,,,,,,,,,,,,,,,,,,
22,2024-09-15,Jets,Titans,4,-4,4,0.51,0.49,106240,1,,,,,,,,,,,,,,,,,,,,,,,
23,2024-09-15,Seahawks,Patriots,3,-3,3,0.35,0.65,97091,1,,,,,,,,,,,,,,,,,,,,,,,
24,2024-09-15,Browns,Jaguars,-3,3,3,0.55,0.45,101963,0,,,,,,,,,,,,,,,,,,,,,,,
25,2024-09-15,49ers,Vikings,4,-4,4,0.62,0.38,129867,1,,,,,,,,,,,,,,,,,,,,,,,
26,2024-09-15,Colts,Packers,2.5,-2.5,2.5,0.66,0.34,136148,1,,,,,,,,,,,,,,,,,,,,,,,
27,2024-09-15,Giants,Commanders,-1.5,1.5,1.5,0.82,0.18,103483,0,,,,,,,,,,,,,,,,,,,,,,,
28,2024-09-15,Rams,Cardinals,0,0,0,0.54,0.46,138900,0,,,,,,,,,,,,,,,,,,,,,,,
29,2024-09-15,Bengals,Chiefs,-6.5,6.5,6.5,0.4,0.6,167955,0,,,,,,,,,,,,,,,,,,,,,,,
30,2024-09-15,Steelers,Broncos,2.5,-2.5,2.5,0.43,0.57,110809,1,,,,,,,,,,,,,,,,,,,,,,,
31,2024-09-15,Bears,Texans,-6,6,6,0.4,0.6,256025,0,,,,,,,,,,,,,,,,,,,,,,,
32,2024-09-16,Falcons,Eagles,-5.5,5.5,5.5,0.41,0.59,327171,0,,,,,,,,,,,,,,,,,,,,,,,
33,2024-09-19,Patriots,Jets,-6.5,6.5,6.5,0.46,0.54,319295,0,,,,,,,,,,,,,,,,,,,,,,,
34,2024-09-22,Broncos,Buccaneers,-6,6,6,0.23,0.77,135598,0,,,,,,,,,,,,,,,,,,,,,,,
35,2024-09-22,Texans,Vikings,1.5,-1.5,1.5,0.54,0.46,133003,1,,,,,,,,,,,,,,,,,,,,,,,
