date,Visiting,GF,Home,GF,Venue,Crowd,temp,hum,wind,precip
10/14/2017,Omaha,5,Cedar Rapids,1,Cedar Rapids Ice Arena,1902,63,94,12,0.8
10/20/2017,Lincoln,2,Cedar Rapids,4,Cedar Rapids Ice Arena,1872,62,69,10,0
10/21/2017,Central Illinois,3,Cedar Rapids,5,Cedar Rapids Ice Arena,1507,68,74,14,0.23
11/11/2017,Madison,3,Cedar Rapids,1,Cedar Rapids Ice Arena,2128,39,54,10,0.001
11/25/2017,Waterloo,2,Cedar Rapids,3,Cedar Rapids Ice Arena,2666,39,65,11,0
12/2/2017,Sioux Falls,4,Cedar Rapids,2,Cedar Rapids Ice Arena,1749,42,57,3,0
12/8/2017,Chicago,0,Cedar Rapids,2,Cedar Rapids Ice Arena,1699,25,61,11,0.001
12/9/2017,Dubuque,1,Cedar Rapids,7,Cedar Rapids Ice Arena,2082,23,62,14,0
12/27/2017,Chicago,4,Cedar Rapids,3,Cedar Rapids Ice Arena,1938,-3,64,5,0
12/30/2017,Central Illinois,5,Cedar Rapids,6,Cedar Rapids Ice Arena,2083,0,73,15,0.001
1/5/2018,Youngstown,3,Cedar Rapids,5,Cedar Rapids Ice Arena,1514,0,73,7,0.001
1/6/2018,Youngstown,4,Cedar Rapids,2,Cedar Rapids Ice Arena,2305,-3,75,9,0
1/13/2018,Waterloo,3,Cedar Rapids,2,Cedar Rapids Ice Arena,3581,6,61,8,0
1/19/2018,Team USA,7,Cedar Rapids,6,Cedar Rapids Ice Arena,2124,35,67,12,0
1/20/2018,Dubuque,3,Cedar Rapids,0,Cedar Rapids Ice Arena,3573,38,76,6,0
2/2/2018,Dubuque,4,Cedar Rapids,3,Cedar Rapids Ice Arena,2091,9,56,7,0.001
2/16/2018,Muskegon,5,Cedar Rapids,2,Cedar Rapids Ice Arena,2076,24,67,13,0
2/17/2018,Dubuque,2,Cedar Rapids,1,Cedar Rapids Ice Arena,2721,25,80,9,0.1
2/23/2018,Tri-City,1,Cedar Rapids,0,Cedar Rapids Ice Arena,1788,31,85,11,0.1
2/24/2018,Fargo,3,Cedar Rapids,0,Cedar Rapids Ice Arena,2542,31,84,15,0.16
3/9/2018,Waterloo,4,Cedar Rapids,5,Cedar Rapids Ice Arena,2640,29,63,6,0
3/10/2018,Green Bay,2,Cedar Rapids,3,Cedar Rapids Ice Arena,2017,33,60,10,0
3/14/2018,Green Bay,4,Cedar Rapids,3,Cedar Rapids Ice Arena,1390,39,59,13,0
3/23/2018,Green Bay,4,Cedar Rapids,3,Cedar Rapids Ice Arena,2050,39,55,17,0.22
3/24/2018,Green Bay,1,Cedar Rapids,4,Cedar Rapids Ice Arena,1873,32,81,20,0.2
3/31/2018,Chicago,5,Cedar Rapids,4,Cedar Rapids Ice Arena,2388,38,71,20,0.3
4/4/2018,Madison,1,Cedar Rapids,4,Cedar Rapids Ice Arena,1230,25,76,14,0.001
4/7/2018,Sioux City,0,Cedar Rapids,4,Cedar Rapids Ice Arena,2321,27,57,11,0
10/28/2017,Dubuque,6,Central Illinois,3,Peoria Civic Center,712,35,82,13,0.02
10/29/2017,Waterloo,1,Central Illinois,5,Peoria Civic Center,424,38,62,8,0
11/4/2017,Des Moines,5,Central Illinois,6,Peoria Civic Center,569,48,95,11,0
11/5/2017,Chicago,1,Central Illinois,2,Peoria Civic Center,471,56,97,7,0.03
11/10/2017,Youngstown,3,Central Illinois,2,Grossinger Motors Arena,1924,26,62,12,0
11/11/2017,Dubuque,5,Central Illinois,6,Grossinger Motors Arena,1488,34,62,12,0
11/24/2017,Youngstown,4,Central Illinois,3,Grossinger Motors Arena,712,46,65,13,0
11/25/2017,Youngstown,5,Central Illinois,1,Grossinger Motors Arena,1041,46,59,15,0
12/1/2017,Sioux City,2,Central Illinois,3,Grossinger Motors Arena,830,40,66,5,0
12/29/2017,Des Moines,3,Central Illinois,6,Grossinger Motors Arena,1037,13,86,6,0.14
12/31/2017,Madison,2,Central Illinois,3,Grossinger Motors Arena,789,0,75,13,0
1/2/2018,Green Bay,2,Central Illinois,1,Grossinger Motors Arena,512,-3,72,11,0
1/12/2018,Team USA,6,Central Illinois,5,Grossinger Motors Arena,729,16,74,21,0
1/13/2018,Team USA,4,Central Illinois,2,Grossinger Motors Arena,1724,12,65,15,0
1/19/2018,Sioux Falls,5,Central Illinois,2,Grossinger Motors Arena,1032,32,70,18,0
1/21/2018,Lincoln,4,Central Illinois,3,Grossinger Motors Arena,1041,44,98,10,0
1/22/2018,Lincoln,1,Central Illinois,4,Grossinger Motors Arena,632,46,90,17,0.31
2/7/2018,Cedar Rapids,4,Central Illinois,3,Grossinger Motors Arena,517,16,76,11,0
2/17/2018,Green Bay,4,Central Illinois,1,Grossinger Motors Arena,1083,26,89,11,0.03
2/18/2018,Green Bay,5,Central Illinois,2,Grossinger Motors Arena,888,30,85,10,0
3/2/2018,Fargo,6,Central Illinois,2,Grossinger Motors Arena,962,37,67,9,0
3/3/2018,Fargo,8,Central Illinois,0,Grossinger Motors Arena,1182,38,69,9,0
3/9/2018,Muskegon,5,Central Illinois,4,Grossinger Motors Arena,1064,32,65,5,0
3/10/2018,Muskegon,4,Central Illinois,5,Grossinger Motors Arena,945,34,66,10,0
3/18/2018,Madison,6,Central Illinois,3,Grossinger Motors Arena,759,38,73,3,0
3/23/2018,Team USA,9,Central Illinois,3,Grossinger Motors Arena,745,28,68,18,0
3/24/2018,Team USA,4,Central Illinois,2,Grossinger Motors Arena,756,35,89,15,0.42
3/30/2018,Chicago,3,Central Illinois,4,Grossinger Motors Arena,636,26,82,11,0.08
4/6/2018,Muskegon,6,Central Illinois,5,Grossinger Motors Arena,1012,30,68,7,0.08
10/7/2017,Team USA,10,Chicago,5,Fox Valley Ice Arena,1204,70,70,18,0.43
10/20/2017,Dubuque,2,Chicago,3,Fox Valley Ice Arena,693,65,59,9,0
10/21/2017,Madison,2,Chicago,7,Fox Valley Ice Arena,881,69,59,15,0
11/3/2017,Green Bay,4,Chicago,5,Fox Valley Ice Arena,852,43,76,10,0
11/4/2017,Green Bay,6,Chicago,5,Fox Valley Ice Arena,1477,46,86,8,0.48
11/24/2017,Lincoln,5,Chicago,4,Fox Valley Ice Arena,932,48,57,13,0
12/2/2017,Waterloo,2,Chicago,3,Fox Valley Ice Arena,775,44,59,4,0
12/9/2017,Madison,3,Chicago,7,Fox Valley Ice Arena,1229,26,71,14,0.03
12/30/2017,Dubuque,2,Chicago,4,Fox Valley Ice Arena,1326,7,67,13,0.001
12/31/2017,Muskegon,6,Chicago,3,Fox Valley Ice Arena,758,6,61,11,0
1/12/2018,Cedar Rapids,5,Chicago,6,Fox Valley Ice Arena,744,19,62,20,0.001
1/14/2018,Sioux City,2,Chicago,7,Fox Valley Ice Arena,1067,13,63,9,0.08
1/19/2018,Muskegon,2,Chicago,6,Fox Valley Ice Arena,663,34,61,17,0
1/20/2018,Team USA,4,Chicago,3,Fox Valley Ice Arena,1181,39,72,8,0
1/26/2018,Cedar Rapids,2,Chicago,8,Fox Valley Ice Arena,940,42,68,19,0
1/28/2018,Muskegon,5,Chicago,4,Fox Valley Ice Arena,909,34,75,9,0.01
2/2/2018,Youngstown,4,Chicago,3,Fox Valley Ice Arena,659,14,50,10,0
2/3/2018,Youngstown,4,Chicago,3,Fox Valley Ice Arena,1677,32,63,13,0.03
2/9/2018,Central Illinois,4,Chicago,5,Fox Valley Ice Arena,512,23,80,11,0.57
2/16/2018,Des Moines,3,Chicago,2,Fox Valley Ice Arena,968,29,61,10,0
2/17/2018,Madison,8,Chicago,4,Fox Valley Ice Arena,1036,26,75,9,0.11
2/23/2018,Green Bay,3,Chicago,2,Fox Valley Ice Arena,1010,39,82,9,0.06
2/25/2018,Central Illinois,0,Chicago,3,Fox Valley Ice Arena,1055,42,62,18,0.01
3/2/2018,Omaha,6,Chicago,4,Fox Valley Ice Arena,1344,39,57,6,0
3/3/2018,Sioux Falls,2,Chicago,4,Fox Valley Ice Arena,1093,38,53,8,0
3/4/2018,Youngstown,4,Chicago,2,Fox Valley Ice Arena,1118,39,53,12,0
3/17/2018,Tri-City,2,Chicago,5,Fox Valley Ice Arena,1027,38,53,10,0.001
3/18/2018,Tri-City,5,Chicago,2,Fox Valley Ice Arena,1271,42,47,5,0
3/25/2018,Team USA,6,Chicago,9,Fox Valley Ice Arena,1159,34,45,14,0
