sun,mon,tue,wed,thu,fri,sat,apr,may,june,july,aug,winpct,temp,opday,merch,food,fireworks,early,mid,turnstile,nonpaid,paid,percap,nonpaidratio
0,0,0,0,1,0,0,1,0,0,0,0,0,39,1,1,0,0,1,0,4390,622,3768,10.58906379,0.141685649
0,0,0,0,0,1,0,1,0,0,0,0,0,46,0,0,1,0,0,1,1536,639,897,7.508928571,0.416015625
0,0,0,0,0,0,1,1,0,0,0,0,0.333333333,52,0,0,1,0,0,1,2059,106,1953,8.17097171,0.051481302
1,0,0,0,0,0,0,1,0,0,0,0,0.25,57,0,0,1,0,0,1,1426,269,1157,6.691099476,0.188639551
0,1,0,0,0,0,0,1,0,0,0,0,0.4,51,0,0,0,0,0,1,1063,273,790,3.77012987,0.25682032
0,0,0,0,0,0,1,1,0,0,0,0,0.222222222,66,0,0,1,0,0,1,1851,312,1539,9.760909091,0.168557536
1,0,0,0,0,0,0,1,0,0,0,0,0.3,66,0,0,1,0,1,0,1631,517,1114,8.768,0.316983446
0,1,0,0,0,0,0,1,0,0,0,0,0.272727273,86,0,0,0,0,0,1,1410,414,996,8.904615385,0.293617021
0,0,1,0,0,0,0,1,0,0,0,0,0.25,52,0,0,0,0,0,1,1226,289,937,5.725925926,0.235725938
0,0,0,1,0,0,0,1,0,0,0,0,0.230769231,57,0,0,0,0,0,1,425,285,140,6.086666667,0.670588235
0,0,0,0,1,0,0,1,0,0,0,0,0.214285714,65,0,0,0,0,1,0,1426,271,1155,9.509272468,0.190042076
0,0,0,0,0,1,0,1,0,0,0,0,0.2,78,0,0,1,0,0,0,2001,335,1666,10.104782,0.167416292
1,0,0,0,0,0,0,1,0,0,0,0,0.1875,46,0,0,1,0,1,0,1294,290,1004,8.786666667,0.224111283
1,0,0,0,0,0,0,1,0,0,0,0,0.235294118,46,0,0,1,0,0,1,1294,290,1004,5.4425,0.224111283
0,0,0,0,0,0,1,1,0,0,0,0,0.380952381,46,0,0,1,0,1,0,1363,315,1048,8.095833333,0.23110785
0,0,0,0,0,0,1,1,0,0,0,0,0.363636364,46,0,0,1,0,0,1,1363,315,1048,6.044705882,0.23110785
1,0,0,0,0,0,0,1,0,0,0,0,0.347826087,50,0,0,1,0,1,0,2535,1417,1118,12.61,0.558974359
0,1,0,0,0,0,0,1,0,0,0,0,0.375,59,0,0,0,0,0,1,1244,319,925,5.533333333,0.256430868
0,0,1,0,0,0,0,0,1,0,0,0,0.35483871,61,0,0,0,0,0,1,2775,351,2424,9.101492537,0.126486486
0,0,1,0,0,0,0,0,1,0,0,0,0.34375,61,0,0,0,0,0,0,2775,351,2424,6.186813187,0.126486486
