Player,Season,Cap,cap_pct,Rk,Team,Cap.Hit,Salary,Signed.Using,Guaranteed,player_season,tag.y,Pos,Age,G,MP,PER,TS,X3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP
A.J. Hammons,2017,94143000,0.0069,444,DAL,650000,905249,Cap Space,2605511,hammoaj01_2017,hammoaj01,C,24,22,163,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2
A.J. Price,2013,58044000,0.0147,385,WAS,854389,885120,Minimum Salary,854389,priceaj01_2013,priceaj01,PG,26,57,1278,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,1,1.2,2.2,0.084,-0.2,-0.4,-0.6,0.5
A.J. Price,2014,58679000,0.0151,393,MIN,884293,947907,Minimum Salary,884293,priceaj01_2014,priceaj01,SG,27,28,99,9.7,0.469,0.478,0.043,1.1,10.2,5.5,21.5,0.5,0,13,23.2,-0.1,0,0,-0.012,-2.4,-2.4,-4.8,-0.1
A.J. Price,2015,63065000,0.0137,423,CLE,866879,,Minimum Salary,,priceaj01_2015,priceaj01,PG,28,26,324,12,0.451,0.416,0.175,2.1,8.9,5.6,23.5,1.1,0,8.7,22.5,0,0.2,0.3,0.041,-0.3,-1.1,-1.4,0
Aaron Brooks,2013,58044000,0.056,204,SAC,3250000,3250000,Cap Space,3250000,brookaa01_2013,brookaa01,PG,28,53,997,11.8,0.555,0.424,0.165,1.5,7.9,4.6,18,1.5,0.8,16.5,18.1,0.8,0,0.8,0.041,-0.8,-1.4,-2.2,0
Aaron Brooks,2014,58679000,0.0115,476,SAC,674193,674193,,686419,brookaa01_2014,brookaa01,PG,29,72,1557,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,-0.2,-0.8,-1,0.4
Aaron Brooks,2014,58679000,0.0151,422,HOU,884293,1027424,Minimum Salary,884293,brookaa01_2014,brookaa01,PG,29,72,1557,12.5,0.518,0.427,0.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,1.3,0.9,2.2,0.067,-0.2,-0.8,-1,0.4
Aaron Brooks,2015,63065000,0.0182,357,CHI,1145685,,Minimum Salary,1145685,brookaa01_2015,brookaa01,PG,30,82,1885,14.4,0.534,0.383,0.213,1.9,7.5,4.8,24.2,1.5,0.6,14.9,25,1.7,1.5,3.3,0.083,0.3,-1.1,-0.8,0.5
Aaron Brooks,2016,70000000,0.0286,292,CHI,2000000,,Mini MLE,2000000,brookaa01_2016,brookaa01,PG,31,69,1108,11.8,0.494,0.394,0.136,2,7.5,4.8,26,1.4,0.7,14.2,22.9,0.2,0.7,0.9,0.04,-1.3,-1.3,-2.6,-0.2
Aaron Brooks,2017,94143000,0.0287,275,IND,2700000,,Cap Space,2700000,brookaa01_2017,brookaa01,PG,32,65,894,9.5,0.507,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,-0.2,0.5,0.3,0.016,-2.4,-1.2,-3.7,-0.4
Aaron Brooks,2018,99093000,0.0214,318,MIN,2116955,,,2116955,brookaa01_2018,brookaa01,PG,33,32,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-2.6,-1.3,-3.8,-0.1
Aaron Gordon,2015,63065000,0.0633,179,ORL,3992040,4171680,1st Round Pick,8163720,gordoaa01_2015,gordoaa01,PF,19,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.6,-0.1,-2.7,-0.2
Aaron Gordon,2016,70000000,0.0596,181,ORL,4171680,4351320,1st Round Pick,8523000,gordoaa01_2016,gordoaa01,PF,20,78,1863,17,0.541,0.245,0.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1,1.4
Aaron Gordon,2017,94143000,0.0462,210,ORL,4351320,5504420,1st Round Pick,9855740,gordoaa01_2017,gordoaa01,SF,21,80,2298,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.077,-0.3,-0.7,-1,0.6
Aaron Gordon,2018,99093000,0.0555,191,ORL,5504420,,1st Round Pick,5504420,gordoaa01_2018,gordoaa01,PF,22,58,1909,16.5,0.53,0.395,0.26,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0.9,-0.6,0.3,1.1
Aaron Gordon,2019,101869000,0.2119,40,ORL,21590909,19863636,,76000000,gordoaa01_2019,gordoaa01,PF,23,78,2633,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7
Aaron Gordon,2020,109140000,0.182,53,ORL,19863636,18136364,,54409091,gordoaa01_2020,gordoaa01,PF,24,62,2017,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0,1
Aaron Gordon,2021,109140000,0.1662,61,ORL,18136364,16409091,Bird Rights,34545455,gordoaa01_2021,gordoaa01,PF,25,50,1384,14.5,0.547,0.353,0.299,6,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.2,0,0.7
Aaron Gray,2013,58044000,0.0444,247,TOR,2575000,2575000,Room Exception,2575000,grayaa01_2013,grayaa01,C,28,42,513,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,0.2,0.4,0.5,0.05,-3.9,-0.4,-4.3,-0.3
Aaron Gray,2014,58679000,0.0459,229,SAC,2690875,2690875,Room Exception,2690875,grayaa01_2014,grayaa01,C,29,37,355,7.8,0.466,0.016,0.328,13.2,22.3,17.7,9.1,1.4,1.8,30.8,12.5,-0.3,0.4,0.1,0.016,-4.9,0.2,-4.7,-0.2
Aaron Harrison,2016,70000000,0.0075,465,CHO,525093,874636,Minimum Salary,525093,harriaa01_2016,harriaa01,SG,21,21,93,4.3,0.371,0.526,0.632,4.7,13.1,8.8,3,3.2,0,14.1,13.7,-0.2,0.1,0,-0.014,-7.2,0.9,-6.3,-0.1
Aaron Harrison,2017,94143000,0.004,488,CHO,375579,,,375579,harriaa01_2017,harriaa01,SG,22,5,17,-2.2,0.102,0.5,0.5,0,19.5,9.7,22.6,0,0,0,12.9,-0.1,0,-0.1,-0.146,-10.1,-1.7,-11.8,0
Aaron Holiday,2019,101869000,0.0188,346,IND,1911960,2239200,1st Round Pick,4151160,holidaa01_2019,holidaa01,PG,22,50,646,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1
Aaron Holiday,2020,109140000,0.0205,326,IND,2239200,2345640,1st Round Pick,4584840,holidaa01_2020,holidaa01,PG,23,66,1617,11.6,0.521,0.393,0.155,1.5,9,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2
Aaron Holiday,2021,109140000,0.0215,312,IND,2345640,3980551,1st Round Pick,6326191,holidaa01_2021,holidaa01,PG,24,66,1176,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.2,-1,-4.1,-0.6
Aaron Nesmith,2021,109140000,0.0317,263,BOS,3458400,3631200,1st Round Pick,7089600,nesmiaa01_2021,nesmiaa01,SF,21,46,669,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.9,-0.4,-3.2,-0.2
Abdel Nader,2018,99093000,0.0118,445,BOS,1167333,1378242,,1617333,naderab01_2018,naderab01,SF,24,48,522,5.1,0.439,0.436,0.262,2.8,12,7.4,7.1,1.4,1.6,17,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4
Abdel Nader,2019,101869000,0.0135,419,OKC,1378242,1618520,,1378242,naderab01_2019,naderab01,SF,25,61,694,8.8,0.522,0.465,0.167,2,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2
Abdel Nader,2020,109140000,0.0148,391,OKC,1618520,1752950,,1618520,naderab01_2020,naderab01,SF,26,55,867,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2,12.8,17,0.5,0.9,1.3,0.074,-1.1,0.2,-1,0.2
Abdel Nader,2021,109140000,0.0161,376,PHO,1752950,,Cap Space,1752950,naderab01_2021,naderab01,SF,27,24,355,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19,0.3,0.4,0.7,0.095,-1.2,0.8,-0.4,0.2
Admiral Schofield,2020,109140000,0.0082,444,WAS,898310,1517981,MLE,4198912,schofad01_2020,schofad01,PF,22,33,368,6.1,0.502,0.663,0.163,2,12.4,7,5.3,1,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3
Adreian Payne,2015,63065000,0.0294,293,ATL,1855320,1938840,,3794160,paynead01_2015,paynead01,PF,23,32,739,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1,15.5,17,-0.7,0.2,-0.5,-0.033,-5,-2,-6.9,-0.9
Adreian Payne,2016,70000000,0.0277,295,MIN,1938840,2022240,1st Round Pick,3961080,paynead01_2016,paynead01,PF,24,52,486,5.6,0.422,0.221,0.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-6.1,-0.2,-6.2,-0.5
Adreian Payne,2017,94143000,0.0215,308,MIN,2022240,,1st Round Pick,2022240,paynead01_2017,paynead01,PF,25,18,135,14.4,0.505,0.278,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0,0.2,0.2,0.086,-3.8,1.5,-2.3,0
Al Harrington,2013,58044000,0.1152,101,ORL,6687400,6687400,MLE,14066600,harrial01_2013,harrial01,C,32,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,-0.1,0.1,0,-0.012,-3,-1.5,-4.5,-0.1
Al Harrington,2014,58679000,0.0151,371,WAS,884293,1399507,Minimum Salary,884293,harrial01_2014,harrial01,PF,33,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-3.2,-1,-4.2,-0.3
Al Harrington,2014,58679000,0.0609,180,ORL,3574300,3574300,,7379200,harrial01_2014,harrial01,PF,33,34,511,9.7,0.506,0.483,0.169,3.3,15,9.1,8.7,1.4,0,13.3,22.7,-0.2,0.5,0.4,0.035,-3.2,-1,-4.2,-0.3
Al Horford,2013,58044000,0.2067,43,ATL,12000000,12000000,Bird Rights,48000000,horfoal01_2013,horfoal01,C,26,74,2756,19.8,0.56,0.006,0.196,8.2,23,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7
Al Horford,2014,58679000,0.2045,45,ATL,12000000,12000000,Bird Rights,36000000,horfoal01_2014,horfoal01,C,27,29,958,22,0.588,0.026,0.202,8,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,2.2,0.8,3,1.2
Al Horford,2015,63065000,0.1903,48,ATL,12000000,12000000,Bird Rights,24000000,horfoal01_2015,horfoal01,C,28,76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,2.6,1.5,4.1,3.6
Al Horford,2016,70000000,0.1714,62,ATL,12000000,,Bird Rights,12000000,horfoal01_2016,horfoal01,C,29,82,2631,19.4,0.565,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,2.2,1.6,3.8,3.9
Al Horford,2017,94143000,0.2819,5,BOS,26540100,27734405,Cap Space,83203215,horfoal01_2017,horfoal01,C,30,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,2.3,1.1,3.4,3
Al Horford,2018,99093000,0.2799,11,BOS,27734405,28928710,Cap Space,56663115,horfoal01_2018,horfoal01,C,31,72,2277,17.6,0.575,0.3,0.159,5,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4,3.8,7.8,0.165,2.4,2,4.4,3.7
Al Horford,2019,101869000,0.284,13,BOS,28928710,30123015,Cap Space,28928710,horfoal01_2019,horfoal01,C,32,68,1973,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,4.5,2.9,7.5,0.181,3.3,1.9,5.1,3.6
Al Horford,2020,109140000,0.2566,24,PHI,28000000,27500000,,97000000,horfoal01_2020,horfoal01,C,33,67,2025,15.7,0.536,0.399,0.113,5.6,19.3,12.4,19.2,1.2,2.6,9.7,17.5,2.8,2.6,5.4,0.128,1.3,1,2.2,2.2
Al Horford,2021,109140000,0.252,40,OKC,27500000,27000000,Cap Space,69000000,horfoal01_2021,horfoal01,C,34,28,782,17.4,0.538,0.422,0.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.8,0.9,1.6,0.101,1.9,1.4,3.3,1
Al Jefferson,2013,58044000,0.2584,19,UTA,15000000,15000000,Bird Rights,15000000,jeffeal01_2013,jeffeal01,C,28,78,2578,20.9,0.522,0.014,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,4.3,3.3,7.7,0.143,2.2,0.1,2.4,2.8
Al Jefferson,2014,58679000,0.2301,35,CHA,13500000,13500000,Cap Space,27166667,jeffeal01_2014,jeffeal01,C,29,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,2.2,0.5,2.7,3
Al Jefferson,2015,63065000,0.2167,33,CHO,13666667,13833333,Cap Space,13666667,jeffeal01_2015,jeffeal01,C,30,65,1992,19.7,0.5,0.005,0.163,5.3,25.5,15.1,11.6,1.2,3.3,5.9,26.3,1.3,3.4,4.7,0.113,0.9,0.7,1.6,1.8
