pccon,pcnov,wp,owp,confgame,Thurs,Friday,smallconf,bigconf,hf,absline,total
8.418849108,0.96559762,0,0.416666667,0,0,0,0,0,1,4.5,43.5
8.107371793,1.08052311,0,0.846153846,0,0,0,0,1,0,27.5,51
7.378158333,0.988770882,0.25,0.166666667,0,0,0,0,0,0,9,51
8.527913431,1.101518137,0.2,0.692307692,1,0,0,0,0,0,14,48
7.346093956,0.888622461,0.25,0.416666667,1,0,0,0,0,0,22,50.5
8.303667337,0.908494026,0.2,0.615384615,1,0,0,0,0,0,10,47
8.648868638,0.960402325,0,0.461538462,0,0,0,0,0,0,7,46.5
8.861075591,0.873068379,0.333333333,0.615384615,0,0,0,0,1,0,1.5,46
8.651648987,1.008714597,0.5,0.454545455,0,0,0,1,0,1,23.5,46
9.158289358,1.099024201,0.4,0.615384615,1,0,0,0,0,0,7.5,47
8.153321497,1.004043625,0.333333333,0.692307692,1,0,0,0,0,0,10.5,54.5
7.345079412,0.966730753,0.428571429,0.25,0,0,0,0,0,1,11.5,47.5
8.219469456,0.803850235,0.375,0.923076923,1,0,0,0,0,0,15.5,53
7.45016137,0.960090797,0.363636364,0.692307692,1,0,0,0,0,0,10,45
9.216962796,0.906983315,0.666666667,0.363636364,0,0,0,1,0,1,20.5,41
7.979631695,1.214875275,0.75,0.636363636,0,0,0,1,0,1,29.5,54.5
9.240379381,1.025079153,0.666666667,0.615384615,1,0,0,0,0,0,2.5,45.5
10.33773298,1.104085112,0.666666667,0.538461538,1,0,0,0,0,1,7,43.5
10.22447787,0.839708765,0.636363636,0.615384615,1,0,0,0,0,1,4,45
9.31908878,1.249183465,0.583333333,0.538461538,0,0,0,0,0,1,3.5,38.5
9.725506767,0.640953494,1,0.416666667,0,1,0,0,0,1,6,49.5
9.349373285,0.938779765,1,0.272727273,0,0,0,1,0,1,26.5,47.5
9.89222189,1.087728944,0.75,0.692307692,0,0,0,0,1,1,2,56.5
10.49363807,1.149726018,0.6,0.692307692,1,0,0,0,0,1,1.5,50
9.876267204,0.749251731,0.714285714,0.769230769,1,0,1,0,0,0,14,60.5
9.703934659,0.79941085,0.5,0.416666667,1,0,1,0,0,0,3,52
9.593061745,1.268046946,0.454545455,0.769230769,1,0,0,0,0,0,2,50.5
