vsc,hsc,line,total,mov,combsc,thur,mon,oct,nov,dec,late,rating,Division,OT,number,Penalties,sumwin
34,35,1.5,48.5,1,69,0,0,0,1,0,0,94,0,0,17666,7,1.75
24,17,7,53.5,7,41,0,0,0,0,1,0,88,0,0,14080,10,1.615384615
24,27,6.5,39.5,3,51,0,0,0,0,0,0,91,0,0,13433,16,1.0625
0,59,9,38,59,59,0,0,1,0,0,1,80,0,0,10804,12,0.6
17,20,3,41.5,3,37,0,0,1,0,0,1,89,0,0,9487,7,1.75
38,26,3,47,12,64,0,0,0,1,0,1,91,1,0,9427,9,1.523809524
36,37,2.5,42,1,73,0,0,0,0,1,1,91,0,0,9254,17,1.153846154
31,33,3,45,2,64,0,0,1,0,0,0,89,0,0,8803,9,1.6
17,27,6,46.5,10,44,0,0,1,0,0,0,80,0,0,8677,14,1.666666667
17,38,2,57,21,55,0,1,0,1,0,0,84,0,0,8082,4,1.7
24,25,13,47.5,1,49,0,1,0,0,0,0,83,1,0,8034,15,1.125
33,30,8.5,47,3,63,0,0,0,0,1,0,92,0,1,7992,9,1.181818182
33,31,3,45,2,64,0,0,0,0,0,0,83,1,0,7951,8,1.3125
10,13,6,36,3,23,1,0,0,0,0,0,62,1,1,7914,11,1.5625
23,30,4.5,46.5,7,53,0,1,1,0,0,0,90,1,0,7360,9,1
46,34,6,48,12,80,0,0,1,0,0,1,90,0,0,7134,14,1.4
9,16,3,44.5,7,25,0,0,0,0,0,0,73,1,0,7110,19,1.25
27,24,14.5,37,3,51,0,0,0,0,1,0,85,0,0,6763,13,0.818181818
20,16,3,50,4,36,0,0,0,1,0,0,81,1,0,6662,19,1.428571429
20,23,3.5,36.5,3,43,0,0,0,0,0,1,80,1,0,6592,9,1.031
14,17,3,38,3,31,0,0,0,0,0,1,74,0,0,6498,16,1.3125
10,17,3,44,7,27,0,0,1,0,0,1,76,0,0,6426,17,1.0625
17,20,3.5,44,3,37,0,0,0,1,0,1,93,0,0,6398,10,1.1
6,10,3,43.5,4,16,1,0,0,1,0,0,35,0,0,6348,19,0.875
37,38,3.5,37.5,1,75,0,0,0,1,0,0,93,0,0,6243,16,0.222222222
27,48,3,47,21,75,0,0,1,0,0,0,78,0,0,6228,15,2
6,13,10,34,7,19,1,0,0,0,1,0,67,1,0,6193,10,0.583333333
35,31,3,43,4,66,1,0,0,0,1,0,84,1,0,6051,9,1.538461538
6,7,10.5,41.5,1,13,0,0,0,1,0,0,30,1,0,6041,11,0.888888889
27,31,3,35.5,4,58,0,1,1,0,0,0,90,1,0,5965,14,1
14,19,6.5,38.5,5,33,0,0,0,0,0,0,82,0,0,5854,17,0.5
42,17,1.5,48,25,59,0,0,0,0,1,0,68,0,0,5678,15,1.285714286
26,20,7,43.5,6,46,0,0,1,0,0,0,75,0,1,5654,20,0.5
24,27,11,39.5,3,51,0,0,0,1,0,0,81,0,1,5573,12,0.888888889
48,22,3,46.5,26,70,0,0,0,0,0,0,67,0,0,5528,10,1.094
30,36,8,40.5,6,66,0,1,0,0,1,0,89,1,1,5502,7,1.142857143
24,27,6.5,44,3,51,0,0,0,0,1,1,92,0,0,5407,13,1.461538462
34,23,3.5,44.5,11,57,0,1,1,0,0,0,85,1,0,5355,8,1.5
21,20,5.5,48.5,1,41,0,0,0,1,0,1,85,0,0,5355,12,1.196428571
18,12,6.5,41.5,6,30,0,0,0,1,0,0,75,1,0,5335,12,1.5
7,17,3,48,10,24,0,0,0,1,0,1,63,0,0,5296,22,1.25
17,20,8.5,36.5,3,37,0,0,0,1,0,1,81,0,0,5208,11,1
17,40,2.5,43.5,23,57,0,0,0,1,0,0,79,1,0,5075,9,1.380952381
6,3,5.5,42,3,9,0,0,1,0,0,0,15,0,0,5058,16,0.25
29,15,3,41,14,44,0,0,0,0,1,1,58,0,0,4942,8,1.5
9,13,14,40,4,22,0,0,1,0,0,1,61,0,0,4891,7,0.95
15,21,5,47,6,36,0,0,0,0,0,0,64,1,0,4876,9,0.9375
17,14,9,42.5,3,31,0,0,1,0,0,0,85,1,0,4846,17,1.5
17,38,10,46,21,55,0,0,0,1,0,0,71,0,0,4763,11,1
28,38,10,43,10,66,0,0,0,1,0,0,75,0,0,4750,7,0.571428571
21,22,5,46.5,1,43,0,0,0,0,1,0,83,1,0,4730,8,1.090909091
0,24,3,47,24,24,0,0,0,0,0,1,79,1,0,4711,17,1.4
7,24,13.5,40,17,31,1,0,0,1,0,0,65,0,0,4656,13,1
7,44,15,38.5,37,51,0,0,1,0,0,0,49,0,0,4649,11,1.25
21,27,2,45.5,6,48,0,0,1,0,0,0,79,0,0,4595,14,1.375
24,20,10,43,4,44,0,1,0,0,0,0,73,1,0,4543,15,0.8125
7,30,4.5,42.5,23,37,0,0,0,1,0,0,65,0,0,4490,14,1.5
12,7,4.5,41,5,19,0,0,0,0,0,0,72,0,0,4488,10,0.781
34,20,4,39.5,14,54,0,0,0,0,0,0,61,0,0,4437,11,0.875
28,10,3,41.5,18,38,0,1,0,1,0,0,72,0,0,4389,7,1.571428571
10,23,1,39,13,33,0,0,0,0,0,1,77,1,0,4377,12,0.6875
31,24,7.5,42,7,55,0,0,0,0,0,0,57,0,0,4367,24,0.656
21,37,5.5,48,16,58,0,0,1,0,0,1,80,0,0,4341,11,1.4
27,23,3,41,4,50,0,1,0,0,0,0,80,0,0,4276,8,1.4375
23,3,2,38.5,20,26,0,0,0,0,0,1,47,1,0,4255,11,0.8125
34,21,5,40,13,55,0,0,0,0,0,0,64,0,0,4232,8,1.125
45,38,1,43,7,83,0,0,0,0,1,0,92,1,0,4228,13,1.25
13,10,1.5,40,3,23,0,0,0,0,0,0,47,1,0,4216,16,0.4375
20,19,13.5,37,1,39,0,0,0,0,1,1,83,1,0,4153,15,1
27,13,9.5,45.5,14,40,0,0,0,0,0,0,60,1,0,4148,11,0.625
10,36,10.5,47,26,46,0,0,0,1,0,1,74,1,0,4145,16,1.3
7,21,8.5,48.5,14,28,0,1,0,0,0,0,52,0,0,4069,15,1.3125
31,26,1,41.5,5,57,0,0,0,0,0,1,80,0,0,4061,16,1.1875
20,17,13.5,48.5,3,37,0,0,0,0,1,0,80,1,1,4061,9,1.071428571
32,3,6,41,29,35,0,0,0,1,0,1,70,1,0,4044,10,1.444444444
28,38,5.5,43.5,10,66,0,0,1,0,0,0,73,0,0,4029,9,1.25
20,16,5,45,4,36,0,0,0,0,0,1,64,1,0,3981,16,1
24,0,6,46,24,24,0,0,0,0,0,0,50,0,0,3970,10,1.3125
9,35,10,47.5,26,44,0,0,0,1,0,0,74,0,0,3961,15,1.222222222
7,26,8.5,42.5,19,33,0,0,0,0,1,0,65,0,0,3937,11,1.230769231
0,35,9,36,35,35,0,0,1,0,0,1,71,1,0,3926,13,0.5625
30,25,3.5,40,5,55,0,0,0,1,0,0,83,1,0,3924,10,0.904761905
20,30,12,51,10,50,0,0,0,1,0,1,83,1,0,3870,13,1.428571429
38,10,10,40.5,28,48,0,0,1,0,0,0,58,0,0,3862,12,1
27,45,14,49.5,18,72,0,0,0,0,0,0,68,0,0,3849,15,0.5
6,26,4.5,44,20,32,1,0,0,1,0,0,65,0,0,3839,12,1.3
17,20,7.5,35,3,37,0,0,0,1,0,0,85,1,1,3800,14,1.1
10,45,2,42.5,35,55,0,0,1,0,0,1,68,0,0,3750,9,1.266666667
27,35,11,56,8,62,0,1,0,1,0,0,85,1,0,3736,11,1.666666667
24,17,3.5,41.5,7,41,1,0,0,1,0,0,69,0,0,3735,9,0.888888889
14,27,13.5,38,13,41,0,0,1,0,0,0,62,1,0,3734,8,0.8
34,12,11,48,22,46,1,0,0,1,0,0,58,1,0,3708,10,0.8
35,27,3,48,8,62,0,0,0,1,0,0,83,1,0,3687,13,1.5
34,31,7,40.5,3,65,0,0,0,0,0,0,86,1,0,3636,14,1.3125
24,48,9.5,43,24,72,0,0,1,0,0,0,70,1,0,3619,10,0.5625
20,23,3,43.5,3,43,0,0,0,0,1,0,76,1,0,3572,15,1.071428571
17,0,7,42,17,17,0,0,0,0,1,0,66,1,0,3525,8,0.857142857
38,10,2.5,43.5,28,48,0,0,0,0,0,0,60,0,0,3516,14,1.344
7,44,8.5,47.5,37,51,0,0,0,0,0,0,76,0,0,3514,21,1.266666667
28,23,14,51,5,51,0,0,0,1,0,0,66,,,3507,10,1.125
14,34,7,38.5,20,48,0,0,0,0,0,0,60,0,0,3506,13,0.719
10,24,7.5,47,14,34,0,0,1,0,0,1,72,0,0,3498,10,1.0625
23,31,0,47,8,54,0,0,0,1,0,1,72,0,0,3455,12,1.25
3,34,13.5,38.5,31,37,0,0,0,0,0,0,59,1,0,3430,13,0.9375
7,9,10,37,2,16,0,0,0,0,0,0,23,0,0,3391,11,0.625
17,27,11,47,10,44,0,0,0,1,0,0,64,1,0,3390,8,1.142857143
17,20,7.5,50.5,3,37,0,0,0,1,0,0,79,1,0,3371,17,1.625
14,18,13,45.5,4,32,0,0,0,1,0,0,64,0,0,3334,12,1.5
7,19,4,44,12,26,0,0,0,0,0,0,48,0,0,3298,8,1.375
17,27,3.5,36,10,44,0,0,0,1,0,0,66,0,0,3297,6,1
25,19,3,37.5,6,44,0,0,0,0,0,1,74,0,0,3259,10,0.8125
35,7,15.5,45,28,42,0,0,1,0,0,0,58,0,0,3253,16,0.666666667
17,24,0,36,7,41,0,0,0,0,0,0,72,0,0,3244,6,1.375
38,7,10.5,51,31,45,0,0,0,1,0,0,67,1,0,3205,7,1.111111111
20,17,3.5,49,3,37,0,0,0,0,1,1,72,0,0,3198,11,1.416666667
10,27,17,47.5,17,37,0,0,0,1,0,0,65,1,0,3190,17,1
10,26,4,45,16,36,0,0,0,0,0,0,62,0,0,3175,9,1.375
45,10,0,40,35,55,0,0,1,0,0,1,56,0,0,3165,16,1.4375
6,27,3,38.5,21,33,0,0,0,0,0,1,59,0,0,3161,9,0.75
23,20,6.5,37,3,43,0,0,1,0,0,0,73,1,0,3145,11,0.531
27,7,5.5,51,20,34,0,0,0,0,0,1,54,0,0,3138,21,0.9375
17,15,1.5,44.5,2,32,0,0,0,1,0,0,72,0,0,3123,7,1.555555556
26,23,10,50,3,49,0,0,0,0,1,0,76,1,0,3117,10,1.5
31,3,9,41.5,28,34,0,0,1,0,0,0,58,0,0,3114,13,0.766666667
9,24,4,45,15,33,0,1,0,0,1,0,77,1,0,3095,18,1.083333333
19,13,3.5,37.5,6,32,1,0,0,0,1,0,32,1,0,3074,4,0.818181818
28,20,11,44,8,48,0,0,1,0,0,0,60,0,0,3062,12,0.75
0,41,1.5,44.5,41,41,0,0,1,0,0,1,69,0,0,3030,10,0.75
17,23,6,37,6,40,0,0,0,0,0,1,49,1,0,3029,8,1.25
0,28,7,41,28,28,0,0,0,0,0,1,53,1,0,2995,14,0.375
24,31,1.5,45.5,7,55,0,0,0,0,1,1,66,1,0,2987,7,1.272727273
24,7,4.5,44.5,17,31,0,0,0,0,0,0,61,0,0,2957,16,1.0625
42,6,14,45,36,48,0,0,1,0,0,0,49,0,0,2936,11,1
16,28,6.5,43.5,12,44,0,0,0,0,1,0,76,0,0,2924,11,1.75
16,13,9,35.5,3,29,0,0,1,0,0,1,56,1,0,2921,22,0.8
41,9,8,43,32,50,0,0,0,0,1,0,69,0,0,2907,8,1
31,10,3,49,21,41,0,0,0,0,0,0,71,0,0,2906,12,1.3125
27,30,7,43.5,3,57,0,0,0,0,1,1,81,0,0,2883,18,1.357142857
13,23,5.5,45,10,36,0,0,0,0,0,1,49,0,0,2850,10,1.1875
10,38,1.5,37.5,28,48,0,0,1,0,0,1,67,1,,2825,8,1.125
14,31,11,45,17,45,0,0,0,1,0,1,66,1,0,2821,11,1.111111111
10,30,6,42,20,40,0,0,0,0,1,0,67,0,0,2816,20,0.594
14,33,15.5,41.5,19,47,0,0,1,0,0,0,64,0,0,2816,14,1.583333333
14,6,6.5,37,8,20,0,0,1,0,0,0,34,0,0,2807,11,0.4
31,9,3.5,44,22,40,0,0,1,0,0,0,59,1,0,2799,16,1
0,26,14,48.5,26,26,0,0,1,0,0,0,48,1,0,2781,19,0.7
14,43,13,45,29,57,0,0,0,1,0,1,69,1,0,2778,13,1
45,12,3,44,33,57,0,1,0,0,1,0,51,1,0,2751,9,0.769230769
24,17,7.5,47,7,41,0,0,1,0,0,0,73,0,0,2746,14,1.433333333
13,30,3,44,17,43,0,0,0,1,0,1,70,1,0,2746,6,0.5
