Date,NASDAQ,Callaway,Caesars
1/4/2017,5477,11.69,16.9
1/5/2017,5487.939941,11.6,16.65
1/6/2017,5521.060059,11.1,16.6
1/9/2017,5531.819824,10.88,16.1
1/10/2017,5551.819824,11.44,16.5
1/11/2017,5563.649902,11.27,16.700001
1/12/2017,5547.490234,11.18,16.15
1/13/2017,5574.120117,11.56,16
1/17/2017,5538.72998,11.39,15.45
1/18/2017,5555.649902,11.43,15.8
1/19/2017,5540.080078,11.27,15.55
1/20/2017,5555.330078,11.27,15.5
1/23/2017,5552.939941,11.24,15.4
1/24/2017,5600.959961,11.8,15.95
1/25/2017,5656.339844,11.97,16
1/26/2017,5655.180176,11.57,15.5
1/27/2017,5660.779785,11.47,15.5
1/30/2017,5613.709961,11.33,15.1
1/31/2017,5614.790039,11.33,15.5
2/1/2017,5642.649902,11.24,15.6
2/2/2017,5636.200195,10.99,15.65
2/3/2017,5666.77002,10.3,16
2/6/2017,5663.549805,10.1,15.5
2/7/2017,5674.220215,10.38,15.4
2/8/2017,5682.450195,10.38,15.5
2/9/2017,5715.180176,10.45,15.6
2/10/2017,5734.129883,10.59,16.15
2/13/2017,5763.959961,10.67,16.25
2/14/2017,5782.569824,10.58,16
2/15/2017,5819.439941,10.44,16.6
2/16/2017,5814.899902,10.32,16.4
2/17/2017,5838.580078,10.35,16.549999
2/21/2017,5865.950195,10.52,16.4
2/22/2017,5860.629883,10.38,16.4
2/23/2017,5835.509766,10.17,16.049999
2/24/2017,5845.310059,10.14,16.1
2/27/2017,5861.899902,10.18,16.15
2/28/2017,5825.439941,10.11,16.299999
3/1/2017,5904.029785,10.32,17.15
3/2/2017,5861.220215,10.4,17.700001
3/3/2017,5870.75,10.4,18.200001
3/6/2017,5849.180176,10.61,18.049999
3/7/2017,5833.930176,10.74,18
3/8/2017,5837.549805,10.83,18.1
3/9/2017,5838.810059,10.8,17.75
3/10/2017,5861.72998,10.93,18.049999
3/13/2017,5875.779785,10.9,18.700001
3/14/2017,5856.819824,10.75,19.15
3/15/2017,5900.049805,11.03,19.700001
3/16/2017,5900.759766,11.17,18.6
3/17/2017,5901,11.24,18.85
3/20/2017,5901.529785,11.23,18.65
3/21/2017,5793.830078,11.41,17.6
3/22/2017,5821.640137,11.3,17.549999
3/23/2017,5817.689941,11.37,17.65
3/24/2017,5828.740234,11.17,17.700001
3/27/2017,5840.370117,11.08,17.9
3/28/2017,5875.140137,11.08,18.9
3/29/2017,5897.549805,11.1,18.75
3/30/2017,5914.339844,11.06,18.950001
3/31/2017,5911.740234,11.07,18.924999
4/3/2017,5894.680176,11.07,18.875
4/4/2017,5898.609863,10.96,19.1
