MLB Observation,Team Observation,Away Code,Home Code,aveprice,min,max,stdev,chc,nyy,phi,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Apr,May,June,July,Aug,Sept,winpct,div,int,Attendance,Windspeed,Temp,vwp,diffwp,aft,earlyeve,Evening,opday
892,1,ATL,NYM,149.32,42,312,89.09485582,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.475308642,1,0,42080,10,53,0.549382716,-0.074074074,1,0,0,1
893,2,ATL,NYM,80.08,12,315,69.9338497,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.475308642,1,0,39526,16,55,0.549382716,-0.074074074,1,0,0,0
894,3,ATL,NYM,82.44,12,315,67.98166419,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.475308642,1,0,27855,19,59,0.549382716,-0.074074074,1,0,0,0
895,4,WAS,NYM,66.08,12,315,61.78923855,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.475308642,1,0,23970,19,61,0.49689441,-0.021585768,0,0,1,0
896,5,WAS,NYM,66.08,12,315,61.78923855,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.475308642,1,0,26927,17,56,0.49689441,-0.021585768,0,0,1,0
897,6,WAS,NYM,66.56,14,316,61.75562053,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.666666667,1,0,34614,8,53,0.666666667,0,1,0,0,0
898,7,SFG,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.538461538,0,0,30544,11,64,0.538461538,0,0,0,1,0
899,8,SFG,NYM,85.2,20,315,67.49197483,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.571428571,0,0,33844,6,67,0.5,0.071428571,1,0,0,0
900,9,SFG,NYM,75.64,12,315,64.76385991,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.533333333,0,0,23866,14,50,0.533333333,0,0,1,0,0
901,10,SFG,NYM,66.08,12,315,61.78923855,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,23866,14,49,0.5625,-0.0625,0,0,1,0
902,11,MIA,NYM,66.08,12,315,61.78923855,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.529411765,1,0,20192,18,55,0.4375,0.091911765,0,0,1,0
903,12,MIA,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.555555556,1,0,20623,8,57,0.411764706,0.14379085,0,0,1,0
904,13,MIA,NYM,66.08,12,315,61.78923855,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.578947368,1,0,20660,12,57,0.388888889,0.19005848,1,0,0,0
