Player,Tm,Salary,Cap Hit,Team,Position,GP,TOI,CF,CA,CFpct,FF,FA,FFpct,SF,SA,SFpct,GF,GA,GFpct,xGF,xGA,xGFpct,SCF,SCA,SCFpct,HDCF,HDCA,HDCFpct,HDGF,HDGA,HDGFpct,MDCF,MDCA,MDCFpct,MDGF,MDGA,MDGFpct,LDCF,LDCA,LDCFpct,LDGF,LDGA,LDGFpct,On-Ice SH%,oiSVpct,PDO,ozstarts,nzstarts,dzstarts,ofstarts,ozstartpct,ozfaceoff,nzfaceoff,dzonefaceoff,ozfopct
JeffSkinner,BUF,10000000,9000000,BUF,L,10,126.3666667,122,122,50,101,95,51.53,76,73,51.01,3,5,37.5,5.63,5.77,49.37,61,62,49.59,29,31,48.33,1,4,20,32,31,50.79,2,0,100,60,57,51.28,0,1,0,3.95,93.15,0.971,31,19,15,90,67.39,46,24,32,58.97
BlakeWheeler,WPG,10000000,8250000,WPG,R,4,57.86666667,50,43,53.76,29,36,44.62,18,27,40,1,2,33.33,1.68,2.28,42.41,22,23,48.89,6,13,31.58,0,2,0,16,10,61.54,0,0,-,26,18,59.09,1,0,100,5.56,92.59,0.981,13,14,9,42,59.09,19,21,15,55.88
MikkoRantanen,COL,10000000,9250000,COL,R,6,96.65,100,78,56.18,67,60,52.76,44,44,50,6,7,46.15,4.21,2.43,63.36,58,34,63.04,22,9,70.97,4,2,66.67,36,25,59.02,0,4,0,37,37,50,2,1,66.67,13.64,84.09,0.977,27,28,13,53,67.5,48,38,28,63.16
VladimirTarasenko,STL,9500000,7500000,STL,R,8,101.6166667,104,107,49.29,81,84,49.09,59,66,47.2,7,3,70,5.4,5.53,49.39,61,61,50,19,25,43.18,3,1,75,42,36,53.85,3,2,60,41,39,51.25,1,0,100,11.86,95.45,1.073,28,21,14,87,66.67,44,30,25,63.77
OliverEkman-Larsson,VAN,9240000,7260000,VAN,D,10,167.2166667,154,122,55.8,112,90,55.45,79,65,54.86,7,3,70,5.1,4.51,53.07,60,52,53.57,20,17,54.05,2,1,66.67,40,35,53.33,4,1,80,77,63,55,1,1,50,8.86,95.38,1.042,29,46,28,112,50.88,53,68,53,50
BraydenPoint,TBL,9000000,6750000,T.B,C,10,146.95,155,137,53.08,122,107,53.28,88,79,52.69,10,7,58.82,6.9,4.68,59.57,90,69,56.6,38,20,65.52,6,4,60,52,49,51.49,3,2,60,59,60,49.58,1,1,50,11.36,91.14,1.025,30,34,20,102,60,59,46,45,56.73
AndersLee,NYI,9000000,7000000,NYI,L,7,94.8,96,118,44.86,73,88,45.34,54,61,46.96,5,3,62.5,4.68,5,48.37,45,65,40.91,24,24,50,4,3,57.14,21,41,33.87,0,0,-,46,47,49.46,1,0,100,9.26,95.08,1.043,22,15,8,74,73.33,34,21,25,57.63
MatthewTkachuk,CGY,9000000,7000000,CGY,L,10,139.8833333,169,108,61.01,126,84,60,84,66,56,5,0,100,6.46,3.86,62.59,81,47,63.28,29,16,64.44,0,0,-,52,31,62.65,3,0,100,73,53,57.94,2,0,100,5.95,100,1.06,27,30,27,95,50,51,35,55,48.11
SidneyCrosby,PIT,9000000,8700000,PIT,C,1,13.05,9,18,33.33,8,14,36.36,7,11,38.89,0,2,0,0.6,0.6,49.96,7,9,43.75,3,3,50,0,0,-,4,6,40,0,1,0,2,6,25,0,1,0,0,81.82,0.818,7,3,1,8,87.5,13,5,4,76.47
JustinFaulk,STL,9000000,6500000,STL,D,8,144.2333333,141,132,51.65,112,113,49.78,87,87,50,9,3,75,6.67,7.12,48.34,82,83,49.7,26,36,41.94,3,2,60,56,47,54.37,6,1,85.71,51,47,52.04,0,0,-,10.34,96.55,1.069,23,27,16,135,58.97,53,41,30,63.86
