Name,playerID,yearID,VotePoints,teamID,lgID,W,G,GS,CG,SV,H,HR,BB,SO,BAOpp,ERA,IP,WHIP,H/9,HR/9,BB/9,K/9
Justin Verlander,verlaju01,2019,171,HOU,AL,21,34,34,2,0,137,36,42,300,0.172,2.58,223.0,0.8,5.53,1.45,1.7,12.11
Jacob deGrom,degroja01,2019,207,NYN,NL,11,32,32,0,0,154,19,44,255,0.207,2.43,204.0,0.97,6.79,0.84,1.94,11.25
Blake Snell,snellbl01,2018,169,TBA,AL,21,31,31,0,0,112,16,64,221,0.178,1.89,180.67,0.97,5.58,0.8,3.19,11.01
Jacob deGrom,degroja01,2018,207,NYN,NL,10,32,32,1,0,152,10,46,269,0.196,1.7,217.0,0.91,6.3,0.41,1.91,11.16
Corey Kluber,klubeco01,2017,204,CLE,AL,18,29,29,5,0,141,21,36,265,0.193,2.25,203.67,0.87,6.23,0.93,1.59,11.71
Max Scherzer,scherma01,2017,201,WAS,NL,16,31,31,2,0,126,22,55,268,0.178,2.51,200.67,0.9,5.65,0.99,2.47,12.02
Rick Porcello,porceri01,2016,137,BOS,AL,22,33,33,3,0,193,23,32,189,0.23,3.15,223.0,1.01,7.79,0.93,1.29,7.63
Max Scherzer,scherma01,2016,192,WAS,NL,20,34,34,1,0,165,31,56,284,0.199,2.96,228.33,0.97,6.5,1.22,2.21,11.19
Dallas Keuchel,keuchda01,2015,186,HOU,AL,20,33,33,3,0,185,17,51,216,0.217,2.48,232.0,1.02,7.18,0.66,1.98,8.38
Jake Arrieta,arrieja01,2015,169,CHN,NL,22,33,33,4,0,150,10,48,236,0.185,1.77,229.0,0.86,5.9,0.39,1.89,9.28
Corey Kluber,klubeco01,2014,169,CLE,AL,18,34,34,3,0,207,14,51,269,0.233,2.44,235.67,1.09,7.91,0.53,1.95,10.27
Clayton Kershaw,kershcl01,2014,210,LAN,NL,21,27,27,6,0,139,9,31,239,0.196,1.77,198.33,0.86,6.31,0.41,1.41,10.85
Max Scherzer,scherma01,2013,203,DET,AL,21,32,32,0,0,152,18,56,240,0.198,2.9,214.33,0.97,6.38,0.76,2.35,10.08
Clayton Kershaw,kershcl01,2013,207,LAN,NL,16,33,33,3,0,164,11,52,232,0.195,1.83,236.0,0.92,6.25,0.42,1.98,8.85
David Price,priceda01,2012,153,TBA,AL,20,31,31,2,0,173,16,59,205,0.226,2.56,211.0,1.1,7.38,0.68,2.52,8.74
R.A. Dickey,dickera01,2012,209,NYN,NL,20,34,33,5,0,192,24,54,230,0.226,2.73,233.67,1.05,7.4,0.92,2.08,8.86
Justin Verlander,verlaju01,2011,196,DET,AL,24,34,34,4,0,174,24,57,250,0.192,2.4,251.0,0.92,6.24,0.86,2.04,8.96
Clayton Kershaw,kershcl01,2011,207,LAN,NL,21,33,33,5,0,174,15,54,248,0.207,2.28,233.33,0.98,6.71,0.58,2.08,9.57
Felix Hernandez,hernafe02,2010,167,SEA,AL,13,34,34,6,0,194,17,70,232,0.212,2.27,249.67,1.06,6.99,0.61,2.52,8.36
Roy Halladay,hallaro01,2010,224,PHI,NL,21,33,33,9,0,231,24,30,219,0.245,2.44,250.67,1.04,8.29,0.86,1.08,7.86
