Team,Season,League,#.x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,#.y,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,MOV,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,ln1divwmin1
Albany,2012,America East Conference,1,34,40.1,24.8,55.5,0.45,7.2,19.8,0.36,15.4,20.4,0.76,12.6,16.9,11.1,21.7,32.8,12.5,5.7,2.8,72.1,3,0.56,0.51,156.6,34.9,69.7,52.1,50.4,16.4,8.4,7.5,1.3,49.9,107.7,103.2,4.5,2277.7,66.7,5,5,0,0,0,0,0,0,89,3,0,1.5,1,0.4,0.28,19,15,0.56,-0.24
Binghamton,2012,America East Conference,9,31,40.2,20.2,50.9,0.4,4.3,14.1,0.3,12.1,17.4,0.7,14.9,17.9,8.2,20.2,28.4,11.2,6,2.2,56.8,9,0.49,0.44,139.8,26.3,69.9,47.3,55.2,20.3,9.1,6.2,1.1,30.9,85.8,106.8,-21,2053,66,9,4,0,0,0,0,2,0,74,-13.9,3,1.55,0.7,0.4,0.24,2,29,0.07,2.65
Boston University,2012,America East Conference,5,32,40.2,22.7,53.7,0.42,6.3,19.8,0.32,12.2,18.2,0.67,13.6,16.8,9.9,22.7,32.6,11.6,5.8,3,63.9,4,0.52,0.48,141.3,31.4,69.5,50.8,51.2,18,8.9,8.6,1.2,42.1,97.2,96.6,0.5,2104.6,65.5,6,5,0,0,0,0,0,2,83,0.3,5,1.51,0.9,0.4,0.23,16,16,0.5,0
Hartford,2012,America East Conference,8,31,40.6,21.1,51,0.41,7.4,23.7,0.31,10.5,15.7,0.67,15.5,19.7,6.6,20.4,27.1,13.1,6.6,2.1,60,7,0.52,0.49,139,21.1,68.4,44.2,62.1,21.2,9.8,6.1,1.2,33.7,89.2,99.9,-10.7,2085.9,66.2,7,5,0,0,0,0,2,0,86,-7.2,8,1.62,0.8,0.4,0.21,9,22,0.29,0.89
Maine,2012,America East Conference,2,29,40.5,25.9,58.5,0.44,5.8,17.9,0.33,11,15,0.73,13.1,18.6,10.3,22.6,32.8,14.1,6.1,4.2,68.6,5,0.53,0.49,150.2,30.7,66.6,48.8,54.4,16.8,8.8,10.4,1.2,47.7,99.7,99.3,0.4,1995.6,67.9,1,18,0,0,0,0,3,3,113,0.2,0,1.54,1.1,0.5,0.19,12,17,0.41,0.34
New Hampshire,2012,America East Conference,7,29,40,21.3,53.3,0.4,7.3,21.3,0.34,11.1,18.2,0.61,13.1,18.1,8.9,22.2,31.1,9.8,5.3,2.4,61.2,6,0.5,0.47,135.2,26.7,70.7,48.1,46,17.6,8,6.2,1.1,35.2,92.5,95,-2.5,1918,66.1,4,7,0,0,0,0,0,0,85,-1.7,2,1.46,0.8,0.4,0.21,13,16,0.45,0.21
Stony Brook,2012,America East Conference,4,32,40.2,24,56.2,0.43,6.2,18.8,0.33,12.2,17.6,0.69,12.3,15.1,13.1,21.8,34.9,11.1,5.5,1.7,66.4,1,0.52,0.48,145.2,40.1,75,56.6,46.2,16.2,8.7,5.4,1.2,45.3,104.4,92.9,11.5,2036.1,63.4,3,8,1,0,0,0,1,0,93,7.3,4,1.46,0.9,0.4,0.22,22,10,0.69,-0.79
UMBC,2012,America East Conference,6,30,40.5,22.9,58.3,0.39,5.1,17.1,0.3,12.4,18.8,0.66,14.6,20.9,10.7,21.3,32,10.3,5.8,1.8,63.2,8,0.48,0.44,135,30.2,66.5,47.4,44.9,18,8.3,4.9,1.1,31.5,89.4,109,-19.6,2121.8,69.9,2,9,0,0,0,0,1,0,82,-13.8,2,1.45,0.7,0.4,0.21,4,26,0.13,1.87
Vermont,2012,America East Conference,3,36,40.4,23.6,53.1,0.44,5.3,15.6,0.34,14.7,19.9,0.74,12.4,17.4,10,23.3,33.4,13.2,6.1,2.4,67.1,2,0.54,0.49,152.4,33.3,70.6,52.8,55.9,16.7,9.4,6.6,1.3,47.4,103.3,93.7,9.5,2339.3,64.3,8,5,0,0,0,0,3,0,92,6.2,0,1.56,1.1,0.5,0.28,24,12,0.67,-0.7
Albany,2013,America East Conference,4,35,40.1,21.7,50,0.44,6.1,16.4,0.37,14.7,20,0.74,13.4,16.1,9,22.6,31.6,11.3,5.5,2,64.3,3,0.55,0.5,154.3,30.7,72.1,52.1,51.8,18.5,8.6,5.9,1.3,42.5,100.9,95.2,5.7,2229.8,63.5,8,5,1,0,0,0,2,0,83,3.7,0,1.52,0.8,0.4,0.3,24,11,0.69,-0.78
Binghamton,2013,America East Conference,9,30,40,19.6,52.7,0.37,5.2,18.2,0.29,11.5,17.8,0.65,15.4,16.9,9.5,24.5,34,8.2,5.8,2.5,55.9,9,0.46,0.42,130.3,26.9,70.6,48.5,42,20.3,8.6,7.3,1.1,30.3,83.6,103.8,-20.2,2004.1,66.8,2,13,0,0,0,0,1,0,77,-13.5,1,1.42,0.5,0.4,0.22,3,27,0.1,2.19
Boston University,2013,America East Conference,2,30,40.3,24.6,54.9,0.45,8,21.6,0.37,10.6,14.5,0.73,12.5,16.8,8.3,22.9,31.2,13.6,7.4,1.8,67.8,4,0.55,0.52,154.8,26.1,68.9,48,55.2,16.9,11.2,4.8,1.2,48.2,102.4,97.4,5,1987.3,65.7,6,9,0,0,0,0,2,0,85,3.3,0,1.55,1.1,0.6,0.19,17,13,0.57,-0.27
Hartford,2013,America East Conference,8,31,40,20.8,50.9,0.41,7.6,22.7,0.33,10.9,15.6,0.7,14.3,18.8,7.9,20.6,28.5,12.3,8.2,2,60.1,5,0.52,0.48,144,25.1,70,46.9,59.2,19.8,12.5,5.9,1.2,38.2,92.6,94.3,-1.7,2012.9,64.9,9,3,0,0,0,0,3,0,80,-1.1,2,1.59,0.9,0.6,0.21,17,14,0.55,-0.2
Maine,2013,America East Conference,3,30,40,24.4,56.3,0.43,5.2,17.7,0.29,12.2,18.6,0.66,15,18.2,10.3,25.5,35.8,12.8,7,4.1,66.3,7,0.51,0.48,138.3,29.7,69.2,50.1,52.4,18.7,10.1,10.3,1.2,46.3,95.3,100.2,-4.9,2086.4,69.5,1,14,0,0,0,0,1,1,97,-3.4,2,1.52,0.9,0.5,0.22,11,19,0.37,0.54
New Hampshire,2013,America East Conference,7,29,40.3,21,54,0.39,6.2,20,0.31,12,18.8,0.64,12.1,17.1,9.8,24.1,33.9,10.5,5.8,2.8,60.2,6,0.48,0.45,133.6,27.3,71,48.5,49.9,16.2,8.9,7.6,1.1,38.7,91.9,95.8,-3.9,1899.3,64.9,4,13,0,0,0,0,3,1,92,-2.6,3,1.5,0.9,0.5,0.22,9,20,0.31,0.8
Stony Brook,2013,America East Conference,1,33,40,23.9,53.9,0.44,5.8,16.5,0.35,14.3,20.3,0.7,11.8,15.6,10.2,25.8,36,12.3,6.4,3.8,68,1,0.54,0.5,150.2,31.9,73.5,53.6,51.5,15.8,9.8,11.6,1.3,52.5,104.1,88,16.1,2155.8,65.3,3,13,1,0,0,0,1,0,93,10.5,3,1.52,1,0.5,0.27,25,8,0.76,-1.14
UMBC,2013,America East Conference,5,31,40.6,23.2,56.9,0.41,6.6,19.7,0.34,10.6,16.8,0.63,14.7,20.2,10.3,21.6,31.9,11.9,7.2,2.2,63.5,8,0.5,0.47,137.5,29,67.7,47.3,51.3,18.7,10.4,6.4,1.1,37,91.8,103.3,-11.5,2145.7,68.1,5,11,0,0,0,0,1,0,86,-7.9,0,1.51,0.8,0.5,0.19,8,23,0.26,1.05
Vermont,2013,America East Conference,6,33,40,21.5,49.3,0.44,4.8,14.9,0.32,15.7,22.1,0.71,12.8,16.2,10.1,23.1,33.2,11.4,6.5,2.8,63.5,2,0.54,0.49,146.8,33.6,71.6,53.3,52.7,17.8,10.5,8.7,1.3,45.6,101.7,94.8,6.9,2061.3,62.5,7,8,0,0,0,0,0,0,87,4.3,3,1.53,0.9,0.5,0.32,21,12,0.64,-0.56
Albany,2014,America East Conference,4,34,40.4,22.5,51,0.44,4.8,13.3,0.36,16.1,21.4,0.75,12.6,17,9.4,23.7,33.1,11.1,5.4,3,65.9,3,0.55,0.49,155.1,31.2,72.2,52.6,49.2,17.3,8.4,8.6,1.3,44.6,102.3,99.4,3,2187.9,63.6,6,7,1,0,0,0,2,1,86,1.9,1,1.49,0.9,0.4,0.32,19,15,0.56,-0.24
