fga,fg_pct,fga3,fg3_pct,fta,ft_pct,orb,drb,ast,stl,blk,tov,opp_fga,opp_fg_pct,opp_fga3,opp_fg3_pct,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,win
43,41.9,19,26.3,32,56.3,11,30,6,5,2,22,55,38.2,18,16.7,24,70.8,9,22,5,12,4,13,FALSE
58,37.9,26,30.8,14,78.6,11,30,11,6,3,12,55,36.4,30,33.3,25,76,11,26,15,7,5,10,FALSE
52,32.7,18,33.3,14,50,12,20,11,5,2,11,48,47.9,27,51.9,11,63.6,6,28,20,6,4,11,FALSE
63,41.3,21,19,22,63.6,12,30,10,11,6,14,62,40.3,22,22.7,13,61.5,11,29,9,5,2,17,TRUE
38,44.7,19,31.6,31,74.2,5,27,9,5,8,19,57,33.3,23,17.4,24,62.5,13,20,9,6,3,14,TRUE
58,36.2,28,25,36,69.4,15,36,12,4,2,12,64,34.4,26,23.1,21,66.7,9,30,10,3,1,9,TRUE
53,56.6,14,42.9,34,55.9,8,21,22,6,3,10,59,49.2,16,25,27,70.4,11,22,19,6,1,11,TRUE
61,45.9,25,52,10,80,5,21,18,13,4,12,56,42.9,20,30,11,54.5,13,28,12,6,1,24,TRUE
42,50,16,37.5,19,68.4,8,20,7,4,7,11,50,40,20,25,14,64.3,14,15,7,4,2,12,TRUE
55,43.6,23,34.8,20,85,10,23,12,6,3,10,56,50,18,38.9,8,87.5,4,22,14,6,2,10,TRUE
52,36.5,19,42.1,20,75,12,26,11,5,3,15,55,41.8,22,9.1,12,83.3,7,23,9,6,6,11,TRUE
49,44.9,19,26.3,17,100,3,28,11,8,8,14,62,32.3,29,31,14,71.4,16,22,11,7,2,14,TRUE
53,47.2,23,39.1,19,63.2,5,18,14,10,2,6,51,45.1,20,45,23,60.9,14,23,11,3,2,17,TRUE
60,43.3,21,23.8,27,74.1,11,23,13,10,2,12,54,46.3,21,42.9,13,69.2,7,27,12,6,3,20,TRUE
50,42,24,37.5,12,50,7,24,15,6,5,11,56,35.7,22,31.8,14,78.6,13,26,12,3,4,12,FALSE
67,38.8,29,20.7,24,79.2,18,25,7,3,2,6,57,47.4,17,47.1,31,74.2,9,27,10,3,2,5,FALSE
57,40.4,20,35,13,69.2,13,24,14,4,1,14,54,44.4,19,36.8,17,76.5,7,23,14,6,7,9,FALSE
55,49.1,15,33.3,25,68,4,32,14,8,9,9,72,34.7,27,44.4,16,75,17,25,15,5,2,12,TRUE
75,33.3,31,29,15,60,26,23,13,9,3,14,44,54.5,16,56.3,27,59.3,4,26,13,6,11,14,FALSE
57,38.6,29,44.8,17,70.6,13,22,17,5,7,10,55,41.8,25,60,15,80,12,24,16,5,6,13,FALSE
54,53.7,22,50,21,52.4,6,25,14,5,1,4,69,42,34,38.2,7,100,14,24,19,2,2,6,TRUE
61,47.5,28,42.9,37,75.7,15,24,20,11,6,13,60,38.3,18,16.7,24,75,17,21,15,5,4,17,TRUE
47,46.8,18,27.8,23,52.2,9,19,12,6,1,16,58,50,22,45.5,7,85.7,11,20,15,8,0,10,FALSE
