season,date,team1,team2,name1,name2,neutral,playoff,score1,score2,elo1_pre,elo2_pre,elo1_post,elo2_post,prob1
2019,10/10/2019,WAS,CON,Washington Mystics,Connecticut Sun,0,1,89,78,1684,1634,1692,1627,0.718
2019,10/8/2019,CON,WAS,Connecticut Sun,Washington Mystics,0,1,90,86,1626,1693,1634,1684,0.524
2019,10/6/2019,CON,WAS,Connecticut Sun,Washington Mystics,0,1,81,94,1648,1671,1626,1693,0.601
2019,10/1/2019,WAS,CON,Washington Mystics,Connecticut Sun,0,1,87,99,1700,1618,1671,1648,0.763
2019,9/29/2019,WAS,CON,Washington Mystics,Connecticut Sun,0,1,95,86,1694,1624,1700,1618,0.747
2019,9/24/2019,LVA,WAS,Las Vegas Aces,Washington Mystics,0,1,90,94,1570,1687,1563,1694,0.434
2019,9/22/2019,LVA,WAS,Las Vegas Aces,Washington Mystics,0,1,92,75,1540,1717,1570,1687,0.331
2019,9/22/2019,LAS,CON,Los Angeles Sparks,Connecticut Sun,0,1,56,78,1575,1592,1543,1624,0.612
2019,9/19/2019,WAS,LVA,Washington Mystics,Las Vegas Aces,0,1,103,91,1714,1543,1717,1540,0.858
2019,9/19/2019,CON,LAS,Connecticut Sun,Los Angeles Sparks,0,1,94,68,1571,1596,1592,1575,0.597
2019,9/17/2019,WAS,LVA,Washington Mystics,Las Vegas Aces,0,1,97,95,1712,1545,1714,1543,0.856
2019,9/17/2019,CON,LAS,Connecticut Sun,Los Angeles Sparks,0,1,84,75,1559,1608,1571,1596,0.556
2019,9/15/2019,LAS,SEA,Los Angeles Sparks,Seattle Storm,0,1,92,69,1597,1529,1608,1518,0.743
2019,9/15/2019,LVA,CHI,Las Vegas Aces,Chicago Sky,0,1,93,92,1541,1564,1545,1559,0.601
2019,9/11/2019,CHI,PHO,Chicago Sky,Phoenix Mercury,0,1,105,76,1553,1450,1564,1440,0.788
2019,9/11/2019,SEA,MIN,Seattle Storm,Minnesota Lynx,0,1,84,74,1517,1563,1529,1550,0.561
2019,9/8/2019,WAS,CHI,Washington Mystics,Chicago Sky,0,0,100,86,1706,1559,1712,1553,0.786
2019,9/8/2019,LAS,MIN,Los Angeles Sparks,Minnesota Lynx,0,0,77,68,1588,1572,1597,1563,0.634
2019,9/8/2019,IND,CON,Indiana Fever,Connecticut Sun,0,0,104,76,1424,1599,1464,1559,0.367
2019,9/8/2019,PHO,LVA,Phoenix Mercury,Las Vegas Aces,0,0,89,98,1465,1526,1450,1541,0.527
2019,9/8/2019,DAL,SEA,Dallas Wings,Seattle Storm,0,0,64,78,1398,1500,1381,1517,0.468
2019,9/8/2019,ATL,NYL,Atlanta Dream,New York Liberty,0,0,63,71,1357,1305,1338,1324,0.682
2019,9/6/2019,WAS,DAL,Washington Mystics,Dallas Wings,0,0,86,73,1703,1401,1706,1398,0.9
2019,9/6/2019,CON,CHI,Connecticut Sun,Chicago Sky,0,0,104,109,1615,1543,1599,1559,0.705
2019,9/6/2019,PHO,MIN,Phoenix Mercury,Minnesota Lynx,0,0,69,83,1484,1553,1465,1572,0.515
2019,9/6/2019,NYL,IND,New York Liberty,Indiana Fever,0,0,81,86,1314,1415,1305,1424,0.469
2019,9/5/2019,LAS,SEA,Los Angeles Sparks,Seattle Storm,0,0,102,68,1568,1520,1588,1500,0.676
2019,9/5/2019,ATL,LVA,Atlanta Dream,Las Vegas Aces,0,0,78,74,1345,1539,1357,1526,0.341
2019,9/4/2019,CON,DAL,Connecticut Sun,Dallas Wings,0,0,102,72,1607,1409,1615,1401,0.832
2019,9/3/2019,LAS,ATL,Los Angeles Sparks,Atlanta Dream,0,0,70,60,1564,1348,1568,1345,0.846
2019,9/3/2019,PHO,SEA,Phoenix Mercury,Seattle Storm,0,0,70,82,1506,1498,1484,1520,0.623
2019,9/3/2019,NYL,WAS,New York Liberty,Washington Mystics,0,0,77,93,1319,1698,1314,1703,0.151
2019,9/1/2019,MIN,IND,Minnesota Lynx,Indiana Fever,0,0,81,73,1548,1420,1553,1415,0.768
2019,9/1/2019,CHI,PHO,Chicago Sky,Phoenix Mercury,0,0,105,78,1522,1527,1543,1506,0.607
2019,9/1/2019,SEA,ATL,Seattle Storm,Atlanta Dream,0,0,92,75,1490,1356,1498,1348,0.774
2019,8/31/2019,LVA,LAS,Las Vegas Aces,Los Angeles Sparks,0,0,92,86,1529,1574,1539,1564,0.551
2019,8/31/2019,DAL,WAS,Dallas Wings,Washington Mystics,0,0,85,91,1413,1694,1409,1698,0.24
2019,8/30/2019,NYL,CON,New York Liberty,Connecticut Sun,0,0,84,94,1325,1600,1319,1607,0.245
2019,8/29/2019,CHI,DAL,Chicago Sky,Dallas Wings,0,0,83,88,1541,1395,1522,1413,0.787
2019,8/29/2019,IND,LAS,Indiana Fever,Los Angeles Sparks,0,0,83,87,1427,1567,1420,1574,0.415
2019,8/29/2019,ATL,PHO,Atlanta Dream,Phoenix Mercury,0,0,58,65,1365,1518,1356,1527,0.397
2019,8/27/2019,WAS,LAS,Washington Mystics,Los Angeles Sparks,0,0,95,66,1680,1580,1694,1567,0.738
2019,8/27/2019,MIN,CHI,Minnesota Lynx,Chicago Sky,0,0,93,85,1539,1551,1548,1541,0.596
2019,8/27/2019,SEA,CON,Seattle Storm,Connecticut Sun,0,0,70,89,1514,1577,1490,1600,0.524
2019,8/27/2019,IND,LVA,Indiana Fever,Las Vegas Aces,0,0,86,71,1403,1553,1427,1529,0.401
2019,8/27/2019,NYL,PHO,New York Liberty,Phoenix Mercury,0,0,82,95,1337,1506,1325,1518,0.375
2019,8/25/2019,WAS,NYL,Washington Mystics,New York Liberty,0,0,101,72,1676,1341,1680,1337,0.916
2019,8/25/2019,LAS,CON,Los Angeles Sparks,Connecticut Sun,0,0,84,72,1567,1590,1580,1577,0.582
2019,8/25/2019,MIN,LVA,Minnesota Lynx,Las Vegas Aces,0,0,98,77,1517,1575,1539,1553,0.531
2019,8/25/2019,SEA,IND,Seattle Storm,Indiana Fever,0,0,54,63,1541,1376,1514,1403,0.804
2019,8/25/2019,PHO,CHI,Phoenix Mercury,Chicago Sky,0,0,86,94,1522,1535,1506,1551,0.595
2019,8/25/2019,DAL,ATL,Dallas Wings,Atlanta Dream,0,0,73,77,1408,1351,1395,1365,0.688
2019,8/23/2019,CON,LVA,Connecticut Sun,Las Vegas Aces,0,0,89,85,1584,1582,1590,1575,0.616
2019,8/23/2019,CHI,WAS,Chicago Sky,Washington Mystics,0,0,85,78,1519,1692,1535,1676,0.369
2019,8/23/2019,NYL,ATL,New York Liberty,Atlanta Dream,0,0,87,90,1351,1341,1341,1351,0.628
2019,8/22/2019,LAS,IND,Los Angeles Sparks,Indiana Fever,0,0,98,65,1557,1387,1567,1376,0.809
2019,8/22/2019,MIN,DAL,Minnesota Lynx,Dallas Wings,0,0,86,70,1507,1418,1517,1408,0.726
2019,8/20/2019,LVA,PHO,Las Vegas Aces,Phoenix Mercury,0,0,84,79,1576,1528,1582,1522,0.677
2019,8/20/2019,LAS,MIN,Los Angeles Sparks,Minnesota Lynx,0,0,81,71,1548,1516,1557,1507,0.655
2019,8/20/2019,IND,NYL,Indiana Fever,New York Liberty,0,0,76,82,1404,1334,1387,1351,0.704
2019,8/20/2019,ATL,CHI,Atlanta Dream,Chicago Sky,0,0,83,87,1347,1513,1341,1519,0.379
2019,8/18/2019,WAS,IND,Washington Mystics,Indiana Fever,0,0,107,68,1686,1411,1692,1404,0.885
2019,8/18/2019,CON,DAL,Connecticut Sun,Dallas Wings,0,0,78,68,1579,1423,1584,1418,0.795
2019,8/18/2019,SEA,MIN,Seattle Storm,Minnesota Lynx,0,0,82,74,1532,1525,1541,1516,0.622
2019,8/18/2019,PHO,NYL,Phoenix Mercury,New York Liberty,0,0,78,72,1524,1337,1528,1334,0.823
2019,8/18/2019,CHI,LVA,Chicago Sky,Las Vegas Aces,0,0,85,100,1536,1552,1513,1576,0.591
2019,8/16/2019,CON,SEA,Connecticut Sun,Seattle Storm,0,0,79,78,1575,1536,1579,1532,0.666
2019,8/16/2019,CHI,LAS,Chicago Sky,Los Angeles Sparks,0,0,91,81,1524,1560,1536,1548,0.563
2019,8/16/2019,MIN,WAS,Minnesota Lynx,Washington Mystics,0,0,79,86,1535,1677,1525,1686,0.412
2019,8/16/2019,PHO,ATL,Phoenix Mercury,Atlanta Dream,0,0,77,68,1520,1351,1524,1347,0.807
2019,8/16/2019,DAL,NYL,Dallas Wings,New York Liberty,0,0,83,77,1417,1343,1423,1337,0.709
2019,8/14/2019,WAS,SEA,Washington Mystics,Seattle Storm,0,0,88,59,1664,1548,1677,1536,0.755
2019,8/14/2019,PHO,CON,Phoenix Mercury,Connecticut Sun,0,0,71,78,1534,1561,1520,1575,0.576
2019,8/14/2019,DAL,LAS,Dallas Wings,Los Angeles Sparks,0,0,84,78,1402,1575,1417,1560,0.37
2019,8/13/2019,LVA,ATL,Las Vegas Aces,Atlanta Dream,0,0,94,90,1550,1354,1552,1351,0.831
2019,8/13/2019,NYL,MIN,New York Liberty,Minnesota Lynx,0,0,73,89,1357,1520,1343,1535,0.382
2019,8/11/2019,WAS,MIN,Washington Mystics,Minnesota Lynx,0,0,101,78,1654,1531,1664,1520,0.763
