Date,Opponent,Game,Result,ATS,Spread,OU,Total,Team,Season,HomeTeam,AwayTeam,HomeSpread,AwaySpread,HomeScore,AwayScore
20-Sep-20,vs Washington,REG,W,W,-7,U,46.5,Arizona,2020,Arizona,Washington,-7,7,30,15
27-Sep-20,vs Detroit,REG,L,L,-5,U,55.5,Arizona,2020,Arizona,Detroit,-5,5,23,26
25-Oct-20,vs Seattle,REG,W,W,3.5,O,55.5,Arizona,2020,Arizona,Seattle,3.5,-3.5,37,34
8-Nov-20,vs Miami,REG,L,L,-6,O,49,Arizona,2020,Arizona,Miami,-6,6,31,34
15-Nov-20,vs Buffalo,REG,W,L,-3,O,55.5,Arizona,2020,Arizona,Buffalo,-3,3,32,30
6-Dec-20,vs LA Rams,REG,L,L,2.5,O,49,Arizona,2020,Arizona,LA Rams,2.5,-2.5,28,38
20-Dec-20,vs Philadelphia,REG,W,W,-6,O,49.5,Arizona,2020,Arizona,Philadelphia,-6,6,33,26
26-Dec-20,vs San Francisco,REG,L,L,-6,U,49,Arizona,2020,Arizona,San Francisco,-6,6,12,20
13-Aug-21,vs Dallas,PRE,W,W,-2,U,37.5,Arizona,2021,Arizona,Dallas,-2,2,19,16
20-Aug-21,vs Kansas City,PRE,L,L,3.5,U,41,Arizona,2021,Arizona,Kansas City,3.5,-3.5,10,17
19-Sep-21,vs Minnesota,REG,W,L,-3.5,O,51,Arizona,2021,Arizona,Minnesota,-3.5,3.5,34,33
10-Oct-21,vs San Francisco,REG,W,W,-6,U,48.5,Arizona,2021,Arizona,San Francisco,-6,6,17,10
24-Oct-21,vs Houston,REG,W,W,-20,U,47.5,Arizona,2021,Arizona,Houston,-20,20,31,5
28-Oct-21,vs Green Bay,REG,L,L,-6.5,U,50.5,Arizona,2021,Arizona,Green Bay,-6.5,6.5,21,24
14-Nov-21,vs Carolina,REG,L,L,-7,O,41.5,Arizona,2021,Arizona,Carolina,-7,7,10,34
13-Dec-21,vs LA Rams,REG,L,L,-3,O,51,Arizona,2021,Arizona,LA Rams,-3,3,23,30
25-Dec-21,vs Indianapolis,REG,L,L,-3,U,48,Arizona,2021,Arizona,Indianapolis,-3,3,16,22
9-Jan-22,vs Seattle,REG,L,L,-5.5,O,48.5,Arizona,2021,Arizona,Seattle,-5.5,5.5,30,38
21-Aug-22,vs Baltimore,PRE,L,L,5.5,O,37,Arizona,2022,Arizona,Baltimore,5.5,-5.5,17,24
11-Sep-22,vs Kansas City,REG,L,L,6,O,54,Arizona,2022,Arizona,Kansas City,6,-6,21,44
25-Sep-22,vs LA Rams,REG,L,L,3.5,U,48.5,Arizona,2022,Arizona,LA Rams,3.5,-3.5,12,20
9-Oct-22,vs Philadelphia,REG,L,W,5.5,U,48.5,Arizona,2022,Arizona,Philadelphia,5.5,-5.5,17,20
20-Oct-22,vs New Orleans,REG,W,W,-2.5,O,44,Arizona,2022,Arizona,New Orleans,-2.5,2.5,42,34
6-Nov-22,vs Seattle,REG,L,L,-2,O,49,Arizona,2022,Arizona,Seattle,-2,2,21,31
21-Nov-22,vs San Francisco,REG,L,L,9.5,O,43,Arizona,2022,Arizona,San Francisco,9.5,-9.5,10,38
27-Nov-22,vs LA Chargers,REG,L,W,2.5,P,49,Arizona,2022,Arizona,LA Chargers,2.5,-2.5,24,25
12-Dec-22,vs New England,REG,L,L,2,U,44,Arizona,2022,Arizona,New England,2,-2,13,27
25-Dec-22,vs Tampa Bay,REG,L,W,7.5,U,41.5,Arizona,2022,Arizona,Tampa Bay,7.5,-7.5,16,19
11-Aug-23,vs Denver,PRE,W,W,6,U,37.5,Arizona,2023,Arizona,Denver,6,-6,18,17
19-Aug-23,vs Kansas City,PRE,L,L,7.5,O,40.5,Arizona,2023,Arizona,Kansas City,7.5,-7.5,10,38
17-Sep-23,vs NY Giants,REG,L,W,4.5,O,40,Arizona,2023,Arizona,NY Giants,4.5,-4.5,28,31
24-Sep-23,vs Dallas,REG,W,W,11,O,43.5,Arizona,2023,Arizona,Dallas,11,-11,28,16
8-Oct-23,vs Cincinnati,REG,L,L,3,O,45.5,Arizona,2023,Arizona,Cincinnati,3,-3,20,34
29-Oct-23,vs Baltimore,REG,L,W,9.5,O,45,Arizona,2023,Arizona,Baltimore,9.5,-9.5,24,31
12-Nov-23,vs Atlanta,REG,W,W,2,O,43.5,Arizona,2023,Arizona,Atlanta,2,-2,25,23
26-Nov-23,vs LA Rams,REG,L,L,3,O,45,Arizona,2023,Arizona,LA Rams,3,-3,14,37
17-Dec-23,vs San Francisco,REG,L,L,12,O,48,Arizona,2023,Arizona,San Francisco,12,-12,29,45
7-Jan-24,vs Seattle,REG,L,W,3,U,48,Arizona,2023,Arizona,Seattle,3,-3,20,21
13-Sep-20,vs Seattle,REG,L,L,-1,O,49.5,Atlanta,2020,Atlanta,Seattle,-1,1,25,38
27-Sep-20,vs Chicago,REG,L,L,-2.5,O,46,Atlanta,2020,Atlanta,Chicago,-2.5,2.5,26,30
11-Oct-20,vs Carolina,REG,L,L,-2.5,U,53.5,Atlanta,2020,Atlanta,Carolina,-2.5,2.5,16,23
25-Oct-20,vs Detroit,REG,L,L,-1,U,55,Atlanta,2020,Atlanta,Detroit,-1,1,22,23
8-Nov-20,vs Denver,REG,W,W,-4.5,O,50,Atlanta,2020,Atlanta,Denver,-4.5,4.5,34,27
29-Nov-20,vs Las Vegas,REG,W,W,3.5,U,53,Atlanta,2020,Atlanta,Las Vegas,3.5,-3.5,43,6
6-Dec-20,vs New Orleans,REG,L,L,3,U,46,Atlanta,2020,Atlanta,New Orleans,3,-3,16,21
20-Dec-20,vs Tampa Bay,REG,L,W,6,O,49.5,Atlanta,2020,Atlanta,Tampa Bay,6,-6,27,31
13-Aug-21,vs Tennessee,PRE,L,L,-2.5,U,37.5,Atlanta,2021,Atlanta,Tennessee,-2.5,2.5,3,23
29-Aug-21,vs Cleveland,PRE,L,L,6,U,36,Atlanta,2021,Atlanta,Cleveland,6,-6,10,19
12-Sep-21,vs Philadelphia,REG,L,L,-3.5,U,48.5,Atlanta,2021,Atlanta,Philadelphia,-3.5,3.5,6,32
3-Oct-21,vs Washington,REG,L,L,2,O,47.5,Atlanta,2021,Atlanta,Washington,2,-2,30,34
10-Oct-21,vs NY Jets,REG,W,W,-3,O,45.5,Atlanta,2021,Atlanta,NY Jets,-3,3,27,20
31-Oct-21,vs Carolina,REG,L,L,-2.5,U,46.5,Atlanta,2021,Atlanta,Carolina,-2.5,2.5,13,19
18-Nov-21,vs New England,REG,L,L,7,U,47,Atlanta,2021,Atlanta,New England,7,-7,0,25
5-Dec-21,vs Tampa Bay,REG,L,L,11,U,51,Atlanta,2021,Atlanta,Tampa Bay,11,-11,17,30
26-Dec-21,vs Detroit,REG,W,L,-7.5,U,43,Atlanta,2021,Atlanta,Detroit,-7.5,7.5,20,16
9-Jan-22,vs New Orleans,REG,L,L,4.5,O,40,Atlanta,2021,Atlanta,New Orleans,4.5,-4.5,20,30
27-Aug-22,vs Jacksonville,PRE,W,W,-7,O,34.5,Atlanta,2022,Atlanta,Jacksonville,-7,7,28,12
11-Sep-22,vs New Orleans,REG,L,W,5.5,O,43.5,Atlanta,2022,Atlanta,New Orleans,5.5,-5.5,26,27
2-Oct-22,vs Cleveland,REG,W,W,1,U,48.5,Atlanta,2022,Atlanta,Cleveland,1,-1,23,20
16-Oct-22,vs San Francisco,REG,W,W,3.5,U,45.5,Atlanta,2022,Atlanta,San Francisco,3.5,-3.5,28,14
30-Oct-22,vs Carolina,REG,W,L,-4,O,41,Atlanta,2022,Atlanta,Carolina,-4,4,37,34
6-Nov-22,vs LA Chargers,REG,L,L,2.5,U,49.5,Atlanta,2022,Atlanta,LA Chargers,2.5,-2.5,17,20
20-Nov-22,vs Chicago,REG,W,W,-2,O,48.5,Atlanta,2022,Atlanta,Chicago,-2,2,27,24
4-Dec-22,vs Pittsburgh,REG,L,L,1,U,43,Atlanta,2022,Atlanta,Pittsburgh,1,-1,16,19
1-Jan-23,vs Arizona,REG,W,L,-6.5,U,40.5,Atlanta,2022,Atlanta,Arizona,-6.5,6.5,20,19
8-Jan-23,vs Tampa Bay,REG,W,W,-6,O,40.5,Atlanta,2022,Atlanta,Tampa Bay,-6,6,30,17
18-Aug-23,vs Cincinnati,PRE,T,L,-5.5,U,38.5,Atlanta,2023,Atlanta,Cincinnati,-5.5,5.5,13,13
24-Aug-23,vs Pittsburgh,PRE,L,L,6.5,U,38.5,Atlanta,2023,Atlanta,Pittsburgh,6.5,-6.5,0,24
10-Sep-23,vs Carolina,REG,W,W,-3.5,U,40.5,Atlanta,2023,Atlanta,Carolina,-3.5,3.5,24,10
17-Sep-23,vs Green Bay,REG,W,L,-3,O,40.5,Atlanta,2023,Atlanta,Green Bay,-3,3,25,24
8-Oct-23,vs Houston,REG,W,L,-2.5,U,42,Atlanta,2023,Atlanta,Houston,-2.5,2.5,21,19
15-Oct-23,vs Washington,REG,L,L,-1.5,U,42,Atlanta,2023,Atlanta,Washington,-1.5,1.5,16,24
5-Nov-23,vs Minnesota,REG,L,L,-3.5,O,39,Atlanta,2023,Atlanta,Minnesota,-3.5,3.5,28,31
26-Nov-23,vs New Orleans,REG,W,W,2,U,42,Atlanta,2023,Atlanta,New Orleans,2,-2,24,15
10-Dec-23,vs Tampa Bay,REG,L,L,-1.5,O,41.5,Atlanta,2023,Atlanta,Tampa Bay,-1.5,1.5,25,29
24-Dec-23,vs Indianapolis,REG,W,W,-3,U,44.5,Atlanta,2023,Atlanta,Indianapolis,-3,3,29,10
13-Sep-20,vs Cleveland,REG,W,W,-7,U,47.5,Baltimore,2020,Baltimore,Cleveland,-7,7,38,6
28-Sep-20,vs Kansas City,REG,L,L,-3.5,U,55,Baltimore,2020,Baltimore,Kansas City,-3.5,3.5,20,34
11-Oct-20,vs Cincinnati,REG,W,W,-12.5,U,49,Baltimore,2020,Baltimore,Cincinnati,-12.5,12.5,27,3
1-Nov-20,vs Pittsburgh,REG,L,L,-4,O,44.5,Baltimore,2020,Baltimore,Pittsburgh,-4,4,24,28
22-Nov-20,vs Tennessee,REG,L,L,-6,O,50.5,Baltimore,2020,Baltimore,Tennessee,-6,6,24,30
8-Dec-20,vs Dallas,REG,W,W,-8.5,O,45.5,Baltimore,2020,Baltimore,Dallas,-8.5,8.5,34,17
20-Dec-20,vs Jacksonville,REG,W,W,-12.5,O,49,Baltimore,2020,Baltimore,Jacksonville,-12.5,12.5,40,14
27-Dec-20,vs NY Giants,REG,W,W,-9.5,U,43.5,Baltimore,2020,Baltimore,NY Giants,-9.5,9.5,27,13
14-Aug-21,vs New Orleans,PRE,W,W,-1,U,36,Baltimore,2021,Baltimore,New Orleans,-1,1,17,14
19-Sep-21,vs Kansas City,REG,W,W,3.5,O,53.5,Baltimore,2021,Baltimore,Kansas City,3.5,-3.5,36,35
11-Oct-21,vs Indianapolis,REG,W,L,-7.5,O,46.5,Baltimore,2021,Baltimore,Indianapolis,-7.5,7.5,31,25
17-Oct-21,vs LA Chargers,REG,W,W,-3,U,51,Baltimore,2021,Baltimore,LA Chargers,-3,3,34,6
24-Oct-21,vs Cincinnati,REG,L,L,-6.5,O,46,Baltimore,2021,Baltimore,Cincinnati,-6.5,6.5,17,41
7-Nov-21,vs Minnesota,REG,W,L,-7,O,51,Baltimore,2021,Baltimore,Minnesota,-7,7,34,31
28-Nov-21,vs Cleveland,REG,W,W,-3,U,47.5,Baltimore,2021,Baltimore,Cleveland,-3,3,16,10
19-Dec-21,vs Green Bay,REG,L,W,9,O,45.5,Baltimore,2021,Baltimore,Green Bay,9,-9,30,31
2-Jan-22,vs LA Rams,REG,L,W,7,U,47,Baltimore,2021,Baltimore,LA Rams,7,-7,19,20
9-Jan-22,vs Pittsburgh,REG,L,L,-3,U,41,Baltimore,2021,Baltimore,Pittsburgh,-3,3,13,16
11-Aug-22,vs Tennessee,PRE,W,W,-3,O,32,Baltimore,2022,Baltimore,Tennessee,-3,3,23,10
27-Aug-22,vs Washington,PRE,W,L,-6.5,U,38,Baltimore,2022,Baltimore,Washington,-6.5,6.5,17,15
18-Sep-22,vs Miami,REG,L,L,-3.5,O,43.5,Baltimore,2022,Baltimore,Miami,-3.5,3.5,38,42
2-Oct-22,vs Buffalo,REG,L,P,3,U,50.5,Baltimore,2022,Baltimore,Buffalo,3,-3,20,23
9-Oct-22,vs Cincinnati,REG,W,L,-3,U,47.5,Baltimore,2022,Baltimore,Cincinnati,-3,3,19,17
23-Oct-22,vs Cleveland,REG,W,L,-6.5,U,46.5,Baltimore,2022,Baltimore,Cleveland,-6.5,6.5,23,20
20-Nov-22,vs Carolina,REG,W,L,-12.5,U,41.5,Baltimore,2022,Baltimore,Carolina,-12.5,12.5,13,3
4-Dec-22,vs Denver,REG,W,L,-8.5,U,40.5,Baltimore,2022,Baltimore,Denver,-8.5,8.5,10,9
24-Dec-22,vs Atlanta,REG,W,W,-6.5,U,35.5,Baltimore,2022,Baltimore,Atlanta,-6.5,6.5,17,9
1-Jan-23,vs Pittsburgh,REG,L,L,-1,U,35.5,Baltimore,2022,Baltimore,Pittsburgh,-1,1,13,16
12-Aug-23,vs Philadelphia,PRE,W,L,-6,O,35.5,Baltimore,2023,Baltimore,Philadelphia,-6,6,20,19
10-Sep-23,vs Houston,REG,W,W,-9.5,U,43.5,Baltimore,2023,Baltimore,Houston,-9.5,9.5,25,9
24-Sep-23,vs Indianapolis,REG,L,L,-7.5,U,44,Baltimore,2023,Baltimore,Indianapolis,-7.5,7.5,19,22
22-Oct-23,vs Detroit,REG,W,W,-3,O,43.5,Baltimore,2023,Baltimore,Detroit,-3,3,38,6
5-Nov-23,vs Seattle,REG,W,W,-6,U,44.5,Baltimore,2023,Baltimore,Seattle,-6,6,37,3
12-Nov-23,vs Cleveland,REG,L,L,-6,O,39,Baltimore,2023,Baltimore,Cleveland,-6,6,31,33
16-Nov-23,vs Cincinnati,REG,W,W,-4,O,46.5,Baltimore,2023,Baltimore,Cincinnati,-4,4,34,20
10-Dec-23,vs LA Rams,REG,W,L,-7.5,O,42,Baltimore,2023,Baltimore,LA Rams,-7.5,7.5,37,31
31-Dec-23,vs Miami,REG,W,W,-3,O,47,Baltimore,2023,Baltimore,Miami,-3,3,56,19
6-Jan-24,vs Pittsburgh,REG,L,L,3,U,34,Baltimore,2023,Baltimore,Pittsburgh,3,-3,10,17
20-Jan-24,vs Houston,PST,W,W,-10,P,44,Baltimore,2023,Baltimore,Houston,-10,10,34,10
28-Jan-24,vs Kansas City,PST,L,L,-4.5,U,44,Baltimore,2023,Baltimore,Kansas City,-4.5,4.5,10,17
13-Sep-20,vs NY Jets,REG,W,W,-6.5,O,39,Buffalo,2020,Buffalo,NY Jets,-6.5,6.5,27,17
27-Sep-20,vs LA Rams,REG,W,W,-1.5,O,46.5,Buffalo,2020,Buffalo,LA Rams,-1.5,1.5,35,32
19-Oct-20,vs Kansas City,REG,L,L,5.5,U,55,Buffalo,2020,Buffalo,Kansas City,5.5,-5.5,17,26
1-Nov-20,vs New England,REG,W,L,-4,O,41,Buffalo,2020,Buffalo,New England,-4,4,24,21
8-Nov-20,vs Seattle,REG,W,W,3,O,55,Buffalo,2020,Buffalo,Seattle,3,-3,44,34
29-Nov-20,vs LA Chargers,REG,W,W,-4,U,51,Buffalo,2020,Buffalo,LA Chargers,-4,4,27,17
