Home,HomeScore,RoadScore,Road,HomeOdds,DrawOdds,RoadOdds,Playoffs,Season,Date
Portland Timbers,5,1,Minnesota United,1.65,4.75,7.5,0,2017,3/3/2017
DC United,0,0,Sporting Kansas City,2.44,3.45,3.75,0,2017,3/4/2017
Colorado Rapids,1,0,New England Revolution,2.1,3.43,4.6,0,2017,3/4/2017
San Jose Earthquakes,1,0,Montreal Impact,2.16,3.51,3.8,0,2017,3/4/2017
Dynamo Houston,2,1,Seattle Sounders,2.5,3.48,3.1,0,2017,3/4/2017
Columbus Crew,1,1,Chicago Fire,1.86,3.9,5,0,2017,3/4/2017
Los Angeles Galaxy,1,2,FC Dallas,2.46,3.47,3.14,0,2017,3/4/2017
Real Salt Lake,0,0,Toronto FC,2.72,3.4,3.4,0,2017,3/4/2017
Vancouver Whitecaps,0,0,Philadelphia Union,2.07,3.7,3.95,0,2017,3/5/2017
Atlanta United FC,1,2,New York Red Bulls,2.5,3.68,2.98,0,2017,3/5/2017
Orlando City,1,0,New York City,2.24,3.88,3.48,0,2017,3/5/2017
Sporting Kansas City,0,0,FC Dallas,2.15,3.78,4.64,0,2017,3/11/2017
New York Red Bulls,1,0,Colorado Rapids,1.72,3.92,5.7,0,2017,3/11/2017
Chicago Fire,2,0,Real Salt Lake,2,3.99,4.7,0,2017,3/11/2017
Philadelphia Union,2,2,Toronto FC,2.96,3.4,2.75,0,2017,3/11/2017
Montreal Impact,2,2,Seattle Sounders,2.45,3.46,3.4,0,2017,3/11/2017
Dynamo Houston,3,1,Columbus Crew,2.3,3.6,3.5,0,2017,3/11/2017
San Jose Earthquakes,3,2,Vancouver Whitecaps,1.82,3.8,5.61,0,2017,3/11/2017
Los Angeles Galaxy,0,1,Portland Timbers,2.18,3.57,3.68,0,2017,3/12/2017
New York City,4,0,DC United,1.95,4.17,4.75,0,2017,3/12/2017
Minnesota United,1,6,Atlanta United FC,2.67,3.27,2.92,0,2017,3/12/2017
Vancouver Whitecaps,0,2,Toronto FC,2.54,3.4,3.09,0,2017,3/18/2017
DC United,0,2,Columbus Crew,2.25,3.6,3.41,0,2017,3/18/2017
New York City,1,1,Montreal Impact,1.91,4.14,4.75,0,2017,3/18/2017
Real Salt Lake,1,2,Los Angeles Galaxy,2.06,3.57,3.98,0,2017,3/18/2017
Orlando City,2,1,Philadelphia Union,2.15,3.61,3.75,0,2017,3/18/2017
FC Dallas,2,1,New England Revolution,1.7,4.45,6.25,0,2017,3/18/2017
Sporting Kansas City,2,1,San Jose Earthquakes,1.84,3.78,5.1,0,2017,3/18/2017
Colorado Rapids,2,2,Minnesota United,1.5,5,8.88,0,2017,3/18/2017
Atlanta United FC,4,0,Chicago Fire,1.95,4,4.33,0,2017,3/18/2017
Portland Timbers,4,2,Dynamo Houston,1.76,4.27,5.14,0,2017,3/18/2017
Seattle Sounders,3,1,New York Red Bulls,2.2,3.69,3.65,0,2017,3/19/2017
New York Red Bulls,0,0,Real Salt Lake,1.5,4.87,8.19,0,2017,3/25/2017
Columbus Crew,3,2,Portland Timbers,2,4.18,4.58,0,2017,3/25/2017
New England Revolution,5,2,Minnesota United,1.47,5,8.5,0,2017,3/25/2017
Toronto FC,0,0,Sporting Kansas City,1.79,3.84,5.44,0,2017,3/31/2017
Seattle Sounders,0,0,Atlanta United FC,1.69,4.32,5.5,0,2017,3/31/2017
DC United,2,1,Philadelphia Union,2.25,3.42,3.6,0,2017,4/1/2017
Dynamo Houston,4,1,New York Red Bulls,2.67,3.51,3,0,2017,4/1/2017
Minnesota United,4,2,Real Salt Lake,2.86,3.82,2.58,0,2017,4/1/2017
Vancouver Whitecaps,4,2,Los Angeles Galaxy,2.32,3.46,3.41,0,2017,4/1/2017
New York City,2,1,San Jose Earthquakes,1.81,4,4.75,0,2017,4/1/2017
Chicago Fire,2,2,Montreal Impact,1.91,4.05,5.46,0,2017,4/1/2017
Columbus Crew,2,0,Orlando City,1.69,4.33,5.32,0,2017,4/1/2017
Portland Timbers,1,1,New England Revolution,1.85,4.05,5.01,0,2017,4/2/2017
Los Angeles Galaxy,2,0,Montreal Impact,1.67,4.14,6.52,0,2017,4/7/2017
San Jose Earthquakes,1,1,Seattle Sounders,2.52,3.3,3.44,0,2017,4/8/2017
Philadelphia Union,1,3,Portland Timbers,2.2,3.79,3.54,0,2017,4/8/2017
FC Dallas,2,0,Minnesota United,1.4,5.7,9.26,0,2017,4/8/2017
Toronto FC,2,2,Atlanta United FC,1.73,4.31,5.34,0,2017,4/8/2017
Real Salt Lake,3,0,Vancouver Whitecaps,1.96,3.7,4.35,0,2017,4/8/2017
Chicago Fire,1,0,Columbus Crew,2.2,3.8,3.82,0,2017,4/8/2017
New England Revolution,2,0,Dynamo Houston,1.9,4.28,5.25,0,2017,4/8/2017
DC United,2,1,New York City,2.4,3.7,3.36,0,2017,4/8/2017
Sporting Kansas City,3,1,Colorado Rapids,1.76,3.78,5.59,0,2017,4/9/2017
Orlando City,1,0,New York Red Bulls,2.79,3.6,2.8,0,2017,4/9/2017
Philadelphia Union,0,2,New York City,2.38,3.62,3.15,0,2017,4/14/2017
San Jose Earthquakes,1,1,FC Dallas,2.76,3.29,2.96,0,2017,4/14/2017
Vancouver Whitecaps,2,1,Seattle Sounders,2.9,3.4,3.2,0,2017,4/14/2017
Portland Timbers,0,1,Sporting Kansas City,1.96,4,4.59,0,2017,4/15/2017
Colorado Rapids,1,2,Real Salt Lake,1.95,3.54,4.5,0,2017,4/15/2017
