Week_of_season,Visitor,Hometeam,HomeScore,AwayScore,HomeSpread,AwaySpread,Total,pct_bets_vis_spread,pct_bets_home_spread,volume,pct_bets_over,pct_bets_under,,,,,,,,,,,
1,Ravens,Chiefs,27,20,-2.5,2.5,46,0.59,0.41,475558,0.77,0.23,,,,,,,,,,,
1,Packers,Eagles,34,29,-2,2,49.5,0.64,0.36,382046,0.77,0.23,,,,,,,,,,,
1,Steelers,Falcons,10,18,-4,4,42.5,0.84,0.16,149401,0.86,0.14,,,,,,,,,,,
1,Jaguars,Dolphins,20,17,-3.5,3.5,49.5,0.53,0.47,166435,0.77,0.23,,,,,,,,,,,
1,Vikings,Giants,6,28,1,-1,42,0.7,0.3,135335,0.87,0.13,,,,,,,,,,,
1,Titans,Bears,24,17,-4,4,43,0.68,0.32,153591,0.84,0.16,,,,,,,,,,,
1,Panthers,Saints,47,10,-3.5,3.5,41.5,0.64,0.36,140606,0.84,0.16,,,,,,,,,,,
1,Cardinals,Bills,34,28,-6.5,6.5,45.5,0.65,0.35,162376,0.74,0.26,,,,,,,,,,,
1,Patriots,Bengals,10,16,-7.5,7.5,41,0.31,0.69,126354,0.89,0.11,,,,,,,,,,,
1,Texans,Colts,27,29,3,-3,48,0.43,0.57,161498,0.78,0.22,,,,,,,,,,,
1,Broncos,Seahawks,26,20,-6.5,6.5,42.5,0.47,0.53,141414,0.86,0.14,,,,,,,,,,,
1,Raiders,Chargers,22,10,-3,3,40.5,0.71,0.29,118478,0.9,0.1,,,,,,,,,,,
1,Cowboys,Browns,17,33,-2,2,42,0.92,0.08,164522,0.89,0.11,,,,,,,,,,,
1,Commanders,Buccaneers,37,20,-4,4,42.5,0.62,0.38,137385,0.68,0.32,,,,,,,,,,,
1,Rams,Lions,26,20,-5.5,5.5,53.5,0.56,0.44,273751,0.77,0.23,,,,,,,,,,,
1,Jets,49ers,32,19,-3.5,3.5,43.5,0.53,0.47,417997,0.64,0.36,,,,,,,,,,,
