date,TeamA,TeamB,bestodds,bestodds,pct bets A,pct bet B,Number of bets,TeamA,TeamB,A_bestodds,B_bestodds,pct bets A,pct bet B,c_Total,c_TotalResult,c_AwaySP,c_HomeSP,c_AwayScore,c_HomeScore
3/28/2024,LAA,BAL,o8-102,u7.5-105,0.42,0.58,57454,LAA,BAL,170,-190,0.11,0.89,8,Over,P. Sandoval,C. Burnes,3,11
3/28/2024,NYY,HOU,o9-105,u8.5+100,0.25,0.75,48003,NYY,HOU,133,-148,0.41,0.59,9,Push,N. Cortes Jr.,F. Valdez,5,4
3/28/2024,DET,CHW,o8-103,u7.5+100,0.5,0.5,36941,DET,CHW,-155,158,0.89,0.11,8,Under,T. Skubal,G. Crochet,1,0
3/28/2024,MIN,KC,o8+105,u8.5-110,0.06,0.94,43726,MIN,KC,-125,120,0.55,0.45,8.5,Under,P. Lopez,C. Ragans,4,1
3/28/2024,WAS,CIN,o9.5-105,u9-105,0.58,0.42,42646,WAS,CIN,130,-150,0.16,0.84,9.5,Over,Jos. Gray,F. Montas,2,8
3/28/2024,TOR,TB,o7.5-108,u7.5-105,0.7,0.3,33695,TOR,TB,130,-135,0.26,0.74,7.5,Over,J. Berrios,Z. Eflin,8,2
3/28/2024,PIT,MIA,o7.5-103,u7.5-105,0.21,0.79,35376,PIT,MIA,110,-125,0.38,0.62,7.5,Over,M. Keller,J. Luzardo,6,5
3/28/2024,STL,LAD,o9+100,u8.5+105,0.64,0.36,48078,STL,LAD,220,-240,0.12,0.88,9,Under,M. Mikolas,T. Glasnow,1,7
3/28/2024,SF,SD,o7.5+102,u7+100,0.18,0.82,34058,SF,SD,-104,-106,0.72,0.28,7.5,Over,L. Webb,Y. Darvish,4,6
3/28/2024,CHC,TEX,o8.5+100,u8+100,0.33,0.67,46337,CHC,TEX,110,-120,0.3,0.7,8.5,Under,J. Steele,N. Eovaldi,3,4
3/28/2024,CLE,OAK,o7.5+102,u7+100,0.3,0.7,37188,CLE,OAK,-140,124,0.84,0.16,7.5,Over,S. Bieber,A. Wood,8,0
3/28/2024,COL,AZ,o8.5-102,u8-105,0.46,0.54,42777,COL,AZ,190,-218,0.13,0.87,8,Over,K. Freeland,Z. Gallen,1,16
3/28/2024,BOS,SEA,o7.5-104,u7.5+100,0.78,0.22,47654,BOS,SEA,133,-145,0.37,0.63,7.5,Over,B. Bello,L. Castillo,6,4
3/29/2024,MIL,NYM,o7.5+102,u7-103,0.41,0.59,45776,MIL,NYM,102,-112,0.52,0.48,7.5,Under,F. Peralta,J. Quintana,3,1
3/29/2024,ATL,PHI,o9+102,u7-105,0.13,0.87,61518,ATL,PHI,-125,116,0.6,0.4,7,Over,S. Strider,Z. Wheeler,9,3
3/29/2024,TOR,TB,o8-102,u8-115,0.54,0.46,27848,TOR,TB,110,-125,0.32,0.68,8,Over,C. Bassitt,A. Civale,2,8
3/29/2024,PIT,MIA,o8.5+100,u8-102,0.39,0.61,36103,PIT,MIA,124,-130,0.12,0.88,8,Over,M. Perez,A. Puk,7,2
3/29/2024,NYY,HOU,o9.5+100,u9+105,0.65,0.35,45044,NYY,HOU,105,-120,0.19,0.81,9,Under,C. Rodon,C. Javier,7,1
3/29/2024,CLE,OAK,o8+100,u7.5-104,0.69,0.31,30933,CLE,OAK,-130,115,0.91,0.09,7.5,Over,L. Allen,R. Stripling,6,4
3/29/2024,BOS,SEA,o7.5+102,u7+102,0.28,0.72,28393,BOS,SEA,136,-143,0.14,0.86,7,Under,N. Pivetta,G. Kirby,0,1
3/29/2024,SF,SD,o7.5-110,u7.5-103,0.47,0.53,25400,SF,SD,124,-130,0.28,0.72,7.5,Over,K. Harrison,J. Musgrove,8,3
3/29/2024,COL,AZ,o9-115,u9+100,0.61,0.39,40142,COL,AZ,205,-240,0.06,0.94,9,Over,C. Quantrill,M. Kelly,3,7
3/29/2024,STL,LAD,o8.5-105,u8.5-105,0.57,0.43,45226,STL,LAD,200,-225,0.04,0.96,8.5,Over,Z. Thompson,Bo. Miller,3,6
3/30/2024,MIL,NYM,o7.5-105,u7.5-108,0.2,0.8,28212,MIL,NYM,115,-125,0.26,0.74,7.5,Over,D. Hall,L. Severino,7,6
3/30/2024,DET,CHW,o8.5-112,u8.5+100,0.48,0.52,22986,DET,CHW,-130,540,0.83,0.17,8.5,Over,K. Maeda,M. Soroka,7,6
3/30/2024,LAA,BAL,o8.5-108,u8.5+100,0.5,0.5,36067,LAA,BAL,150,-165,0.04,0.96,8.5,Over,G. Canning,G. Rodriguez,4,13
3/30/2024,ATL,PHI,o8-112,u8-102,0.59,0.41,38223,ATL,PHI,-134,116,0.65,0.35,8,Over,M. Fried,A. Nola,12,4
3/30/2024,CLE,OAK,o7.5+105,u7+102,0.41,0.59,28399,CLE,OAK,-125,120,0.9,0.1,7,Over,T. Bibee,J. Sears,12,3
3/30/2024,TOR,TB,o8.5+100,u8-105,0.5,0.5,15620,TOR,TB,118,-130,0.36,0.64,8,Under,Y. Kikuchi,Z. Littell,1,5
3/30/2024,MIN,KC,o8-105,u8-102,0.48,0.52,20159,MIN,KC,-120,107,0.72,0.28,8,Under,J. Ryan,S. Lugo,5,1
3/30/2024,WAS,CIN,o10.5-105,u10.5-107,0.79,0.21,43242,WAS,CIN,160,500,0.03,0.97,10.5,Over,P. Corbin,H. Greene,7,6
3/30/2024,PIT,MIA,o11.5-107,u8.5+100,0.53,0.47,14782,PIT,MIA,-105,420,0.37,0.63,8.5,Over,J. Jones,R. Weathers,9,3
3/30/2024,CHC,TEX,o9.5-110,u9.5-106,0.88,0.12,23289,CHC,TEX,108,-124,0.29,0.71,9.5,Over,K. Hendricks,C. Bradford,2,11
3/30/2024,NYY,HOU,o9-105,u9-109,0.52,0.48,30696,NYY,HOU,115,-130,0.35,0.65,9,Under,M. Stroman,H. Brown,5,3
3/30/2024,SF,SD,o7.5+105,u7.5-110,0.75,0.25,26424,SF,SD,115,-125,0.26,0.74,7.5,Over,J. Hicks,D. Cease,9,6
3/30/2024,COL,AZ,o9.5-105,u9.5+100,0.71,0.29,31190,COL,AZ,160,-178,0.09,0.91,9.5,Over,A. Gomber,T. Henry,9,4
3/30/2024,STL,LAD,o8.5-105,u8.5+100,0.82,0.18,50143,STL,LAD,210,-225,0.03,0.97,8.5,Over,L. Lynn,Y. Yamamoto,6,5
3/30/2024,BOS,SEA,o7.5+100,u7+104,0.59,0.41,18649,BOS,SEA,425,-150,0.26,0.74,7.5,Under,K. Crawford,L. Gilbert,3,4
3/31/2024,ATL,PHI,o8+100,u8-110,0.67,0.33,33220,ATL,PHI,-144,126,0.71,0.29,8,Over,C. Sale,R. Suarez,4,5
