date,AwayTeam,HomeTeam,Away_bestodds,Home_bestodds,pct_bet_home,pct_bet_away,Total,O_bestodds,U_bestodds,pct_bet_over,pct_bet_under,TotalResult,Volume,AwaySP,HomeSP,AwayScore,HomeScore
3/28/2024,LAA,BAL,170,-190,0.89,0.11,8,-102,-105,0.42,0.58,Over,57454,P. Sandoval,C. Burnes,3,11
3/28/2024,NYY,HOU,133,-148,0.59,0.41,9,-105,100,0.25,0.75,Push,48003,N. Cortes Jr.,F. Valdez,5,4
3/28/2024,DET,CHW,-155,158,0.11,0.89,8,-103,100,0.5,0.5,Under,36941,T. Skubal,G. Crochet,1,0
3/28/2024,MIN,KC,-125,120,0.45,0.55,8.5,105,-110,0.06,0.94,Under,43726,P. Lopez,C. Ragans,4,1
3/28/2024,WAS,CIN,130,-150,0.84,0.16,9.5,-105,-105,0.58,0.42,Over,42646,Jos. Gray,F. Montas,2,8
3/28/2024,TOR,TB,130,-135,0.74,0.26,7.5,-108,-105,0.7,0.3,Over,33695,J. Berrios,Z. Eflin,8,2
3/28/2024,PIT,MIA,110,-125,0.62,0.38,7.5,-103,-105,0.21,0.79,Over,35376,M. Keller,J. Luzardo,6,5
3/28/2024,STL,LAD,220,-240,0.88,0.12,9,100,105,0.64,0.36,Under,48078,M. Mikolas,T. Glasnow,1,7
3/28/2024,SF,SD,-104,-106,0.28,0.72,7.5,102,100,0.18,0.82,Over,34058,L. Webb,Y. Darvish,4,6
3/28/2024,CHC,TEX,110,-120,0.7,0.3,8.5,100,100,0.33,0.67,Under,46337,J. Steele,N. Eovaldi,3,4
3/28/2024,CLE,OAK,-140,124,0.16,0.84,7.5,102,100,0.3,0.7,Over,37188,S. Bieber,A. Wood,8,0
3/28/2024,COL,AZ,190,-218,0.87,0.13,8,-102,-105,0.46,0.54,Over,42777,K. Freeland,Z. Gallen,1,16
3/28/2024,BOS,SEA,133,-145,0.63,0.37,7.5,-104,100,0.78,0.22,Over,47654,B. Bello,L. Castillo,6,4
3/29/2024,MIL,NYM,102,-112,0.48,0.52,7.5,102,-103,0.41,0.59,Under,45776,F. Peralta,J. Quintana,3,1
3/29/2024,ATL,PHI,-125,116,0.4,0.6,7,102,-105,0.13,0.87,Over,61518,S. Strider,Z. Wheeler,9,3
3/29/2024,TOR,TB,110,-125,0.68,0.32,8,-102,-115,0.54,0.46,Over,27848,C. Bassitt,A. Civale,2,8
3/29/2024,PIT,MIA,124,-130,0.88,0.12,8,100,-102,0.39,0.61,Over,36103,M. Perez,A. Puk,7,2
3/29/2024,NYY,HOU,105,-120,0.81,0.19,9,100,105,0.65,0.35,Under,45044,C. Rodon,C. Javier,7,1
